Chen's new columns	Reference	Publication Year	Title	Journal	DOI	GEO Accession Number	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Sex of hiPSC Line	Ancestry of hiPSC Line	hiPSC Matrix Coating	hiPSC Backbone Media	Confluency at Start of Differentiation (%)	hiPSC-CM Backbone Media	hiPSC-CM Media Supplements	Wnt Activator	Time of Wnt Activator (Start Day - End Day)	Wnt Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	hiPSC-CM Maintenance/Maturation Media (if different)	hiPSC-CM Matrix Coating if Replated	Maturation Technique: Metabolic?	Metabolic Components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell (SC)	3D: Types of Endothelial Cell (EC) 	3D: Cell Composition (CM-EC-SC)	Tissue Media	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (beats per minute)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrophysiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Fatty Acid Metabolism Measured?	Gene Analyses Method	Pharmacological Interventions	Disease
	Macqueen, L. A. et al. A tissue-engineered scale model of the heart ventricle. Nat Biomed Eng 2, 930–941 (2018).	2018.0	 A tissue-engineered scale model of the heart ventricle	 Nat Biomed Eng 2, 930–941 (2018)	https://doi.org/10.1038/s41551-018-0271-5		Cor.4U, PGP1	6	NaN, Male	NaN, Caucasian	Gelatin	mTeSR-1	100	RPMI-1640	B27	CHIR99021	0-2	IWR1	2-4	6			Visual inspection										Yes				Ventricle scaffolds PCL/gelatin nanofibrous sheets, with human fibronectin	CM			100, 0, 0	RPMI-1640, B27	6.0		Yes		Yes								Dye		90.0												isoproterenol	
	Madsen, A. et al. An Important Role for DNMT3A-Mediated DNA Methylation in Cardiomyocyte Metabolism and Contractility. Circulation 142, 1562–1578 (2020).	2020.0	 An Important Role for DNMT3A-Mediated DNA Methylation in Cardiomyocyte Metabolism and Contractility	 Circulation 142, 1562–1578 (2020)	https://doi.org/10.1161/CIRCULATIONAHA.119.044444		UKEi003-C	1	Female	Caucasian	EBs	FTDA	EB	RPMI-1640	Polyvinyl alcohol, HEPES, human serum albumin, L-ascorbic acid, transferrin–selenium, lipid mix	Activin A, BMP4, bFGF		XAV939					Flow cytometry for cTnT+	80	RPMI-1640, B27					Yes							Fibrin	CM			100, 0, 0	DMEM, heat-inactivated horse serum, aprotinin, insulin	10.0	16	Yes	TEM					Post deflection	0.2														Seahorse		RNA-seq	GW9662	
	Mannhardt, I. et al. Human Engineered Heart Tissue: Analysis of Contractile Force. Stem Cell Reports 7, 29–42 (2016).	2016.0	 Human Engineered Heart Tissue: Analysis of Contractile Force	 Stem Cell Reports 7, 29–42 (2016)	https://doi.org/10.1016/j.stemcr.2016.04.011		in-house, iCell, Cor.4U	3	NaN, NaN, NaN	NaN, NaN, NaN	Geltrex then EBs	FTDA	EB	RPMI-1640	Polyvinyl alcohol, HEPES, human serum albumin, L-ascorbic acid, transferrin–selenium, lipid mix	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-23	Flow cytometry for cTnT+	85		Geltrex				Yes							Fibrin + matrigel	CM			100, 0, 0	DMEM, horse serum, insulin, aprotinin	10.0	10	Yes	TEM		1.6		Yes	Post deflection	0.152					61.0											PCR	isoproterenol, verapamil, SEA-0400, E4031, NS-1643, ATX-II, tetrodotoxin, ouabain, rolipram, EMD-57033, Bay K-8644	
	Mannhardt, I., Warncke, C., Trieu, H. K., Müller, J. & Eschenhagen, T. Piezo-bending actuators for isometric or auxotonic contraction analysis of engineered heart tissue. J Tissue Eng Regen Med 13, 3–11 (2019).	2019.0	 Piezo-bending actuators for isometric or auxotonic contraction analysis of engineered heart tissue	 J Tissue Eng Regen Med 13, 3–11 (2019)	https://doi.org/10.1002/term.2755		in-house	1			Geltrex	FTDA	EB	RPMI-1640	B27, HEPES, 1-thioglycerol	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6										Yes		Yes					Fibrin	CM			100, 0, 0	DMEM, horse serum, insulin, aprotinin	10.0	10							Post deflection	0.6																	ivabradine, isoproterenol, 4-aminopyridin	
	Marchiano, S. et al. SARS-CoV-2 Infects Human Pluripotent Stem Cell-Derived Cardiomyocytes, Impairing Electrical and Mechanical Function. Stem Cell Reports 16, 478–492 (2021).	2021.0	 SARS-CoV-2 Infects Human Pluripotent Stem Cell-Derived Cardiomyocytes, Impairing Electrical and Mechanical Function	 Stem Cell Reports 16, 478–492 (2021)	https://doi.org/10.1016/j.stemcr.2021.02.008	GSE162736	WTC11	1	Male 	Asian	Matrigel	mTeSR-1		RPMI-1640	L-ascorbic acid, albumin	CHIR99021	0-1	Wnt-C59	2-4	6			Flow cytometry for cTnT+	83	RPMI-1640, B27					Yes	Yes					ECM-coated plastic/glass	Fibrin	CM + SC	SC		91, 0, 9	RPMI-1640, B27, aminocaproic acid	5.0	8.6	Yes	TEM					Post deflection	0.04																RNA-seq		Impact of SARS-CoV-2 infection on hiPSC-CMs
	Marsano, A. et al. Beating heart on a chip: A novel microfluidic platform to generate functional 3D cardiac microtissues. Lab Chip 16, 599–610 (2016).	2016.0	 Beating heart on a chip: A novel microfluidic platform to generate functional 3D cardiac microtissues	 Lab Chip 16, 599–610 (2016)	https://doi.org/10.1039/C5LC01356A		iCell	1																								Yes					Fibrin	CM			100, 0, 0	DMEM, HEPES, L-glutamine, FBS, aprotinin	100.0	0.3	Yes	SEM, TEM					Motion tracking analysis			10							MCR				1.5			PCR	isoproterenol	
	Martella, D. et al. Liquid Crystalline Networks toward Regenerative Medicine and Tissue Repair. Small 13, (2017).	2017.0	 Liquid Crystalline Networks toward Regenerative Medicine and Tissue Repair	 Small 13, (2017)	https://doi.org/10.1002/smll.201702677		ax2505	1						Axol Biosciences Cardiomyocyte Maintenance Media	FBS											Liquid Crystal Networks			Conductive material				Yes			Nanotopography											Yes		7000												Patch clamp		120	-80.0						
	Martewicz, S. et al. Live Cell Imaging in Microfluidic Device Proves Resistance to Oxygen/Glucose Deprivation in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Anal Chem 90, 5687–5695 (2018).	2018.0	 Live Cell Imaging in Microfluidic Device Proves Resistance to Oxygen/Glucose Deprivation in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes	 Anal Chem 90, 5687–5695 (2018)	https://doi.org/10.1021/acs.analchem.7b05347		ADHF	1			Matrigel	mTeSR-1	90	RPMI-1640	B27	CHIR99021	0-2	IWP4	3-5	7					RPMI-1640, L-ascorbic acid, B27	Matrigel										ECM-coated plastic/glass									Yes																									
	Martewicz, S. et al. Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli. Ann Biomed Eng 47, 852–865 (2019).	2019.0	 Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli	 Ann Biomed Eng 47, 852–865 (2019)	https://doi.org/10.1007/s10439-018-02134-8	GSE115621	in-house	1			Matrigel	E8		RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5											Yes		Yes	Yes			ECM-coated plastic/glass									Yes						Stretching device																	RNA-seq		ACM
	Mastikhina, O. et al. Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing. Biomaterials 233, (2020).	2020.0	 Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing	 Biomaterials 233, (2020)	https://doi.org/10.1016/j.biomaterials.2019.119741		iCellA, iCellB	2	NaN, NaN	NaN, NaN																				Yes	Yes						Fibrin + matrigel	CM + SC	hCF		75, 0, 25	StemPro-34, StemPro-34 Nutrient Supplement, L-glutamine, L-ascorbic acid, transferrin, 1-thioglycerol	35.0	1.25	Yes						Post deflection		3.7															RNA-seq	carvedilol, losartan, pirfenidone	Myocardial fibrosis
	Masumoto, H. et al. The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages. Sci Rep 6, (2016).	2016.0	 The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages	 Sci Rep 6, (2016)	https://doi.org/10.1038/srep29933		201B6	1	Female	Caucasian	Matrigel	MEF-conditioned medium		RPMI-1640	B27	Activin A, BMP4, bFGF, Wnt3a	0-5	Dkk1	5-7	5			Flow cytometry for cTnT+	62	RPMI-1640, B27, VEGF					Yes	Yes						Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	62, 19, 2	α-MEM, FBS, β-mercaptoethanol	15.0	100	Yes	TEM					Force transducer		1.5								MCR				4.5			RNA-seq		
	Mathur, A. et al. Human iPSC-based cardiac microphysiological system for drug screening applications. Sci Rep 5, (2015).	2015.0	 Human iPSC-based cardiac microphysiological system for drug screening applications	 Sci Rep 5, (2015)	https://doi.org/10.1038/srep08883		WTC11	1	Male 	Asian	Matrigel	E8	85	RPMI-1640	B27	CHIR99021	0-1	IWP4	2-5	7			Flow cytometry for cTnT+	90								Flow					Scaffold free, microfluidic device	CM			100, 0, 0	Knockout DMEM, FBS, L-glutamine, NEAAs,  β-mercaptoethanol	5.0	0.1	Yes						Motion tracking analysis			8	Genetically encoded sensor						MEA								isoproterenol, verapamil, metoprolol, E4031	
	Matsuura, K. et al. Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42°C condition for tumor prevention. Tissue Eng Part C Methods 24, 605–615 (2018).	2018.0	 Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42Ã‚Â°C condition for tumor prevention	 Tissue Eng Part C Methods 24, 605–615 (2018)	https://doi.org/10.1089/ten.TEC.2018.0228		201B7	1	Female	Caucasian			EB	iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)	Activin A, BMP4, bFGF	0-4	IWR1	4-6		Cell sorting															ECM-coated plastic/glass									Yes																									
	Mattapally, S. et al. Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice. Am J Physiol Heart Circ Physiol 315, H327–H339 (2018).	2018.0	 Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice	 Am J Physiol Heart Circ Physiol 315, H327–H339 (2018)	https://doi.org/10.1152/ajpheart.00688.2017		GRiPS	1			Matrigel			RPMI-1640	B27	CHIR99021	0-1	IWR1	3-5	5	No glucose with lactate	10-15	IHC: cTnT, Cx43, MLC2v, MLC2A													ECM-coated plastic/glass	Fibrin	CM			100, 0, 0	RPMI-1640, B27	9.0	0.5	Yes										Dye					9.4										
	McMinn, P., Guckenberger, D. J. & Beebe, D. J. Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit. SLAS Technol 26, 80–91 (2021).	2021.0	 Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit	 SLAS Technol 26, 80–91 (2021)	https://doi.org/10.1177/2472630320921173		IMR-90	1	Female		Matrigel	mTeSR1, TeSR-E8		RPMI-1640	B27	CHIR99021	0-1	IWP4	2-4	4																ECM-coated plastic/glass									Yes																							PCR		
	Melby, J. A. et al. Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues. J Proteome Res 20, 1424–1433 (2021).	2021.0	 Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues	 J Proteome Res 20, 1424–1433 (2021)	https://doi.org/10.1021/acs.jproteome.0c00830		DF19-9-11T.H	1	Male		Matrigel	StemFlex	100	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	7, not 17-24	No glucose with lactate	17-24	Visual inspection	95						Yes	Yes						Fibrin	CM + SC	hiPSC-CF		91, 0, 9	High-glucose DMEM, F12 nutrient, FBS, horse serum, HEPES, NEAAs, sodium pyruvate, insulin, tranexamic acid, aprotinin	11.0	60							Force transducer 		25.0															PCR		
	Michas, C. et al. Engineering a living cardiac pump on a chip using high-precision fabrication. Sci. Adv 8 (2022).	2022.0	 Engineering a living cardiac pump on a chip using high-precision fabrication	 Sci. Adv 8 (2022)	https://doi.org/10.1126/sciadv.abm3791		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1	90	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	10, not 12-16	No glucose with lactate	12-16				Fibronectin					Yes	Flow	Yes				Fibrin + matrigel	CM + SC	hMSC		98, 0, 2	RPMI-1640, B27	12.0	14	Yes						Motion tracking analysis																			
	Miki, K. et al. ERRγ enhances cardiac maturation with T-tubule formation in human iPSC-derived cardiomyocytes. Nat Commun 12, (2021).	2021.0	 ERRγ enhances cardiac maturation with T-tubule formation in human iPSC-derived cardiomyocytes	 Nat Commun 12, (2021)	https://doi.org/10.1038/s41467-021-23816-3		1390D4, 1390C1, 409B2	3	NaN, NaN, Female	NaN, NaN, Caucasian	iMatrix-511	Primate ES cell medium (REPROCELL) with human recombinant basic fibroblast growth factor (bFGF), AK02N medium	EB	StemPro-34	L-glutamine,  1-thioglycerol, L-ascorbic acid, transferrin, VEGF	Activin A, BMP4, bFGF	0-2	IWP3 - also SB431542, VEGF	2-5				Flow cytometry for cTnT+	99			Signal perturbation	ERRγ agonist GSK4716, S-phase kinase-associated protein 2 inhibitor								ECM-coated plastic/glass									Yes	TEM	Yes	2.1		Yes	Motion tracking analysis			33							Patch clamp	41.0	122	-67.0		Seahorse		RNA-seq, PCR		
	Miller, J. M. et al. Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity. Toxicol Appl Pharmacol 406, (2020).	2020.0	 Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity	 Toxicol Appl Pharmacol 406, (2020)	https://doi.org/10.1016/j.taap.2020.115213		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)																					ECM-coated plastic/glass																																	aspirin, doxorubicin, sunitinib, erlotinib	
	Mills, R. J. et al. Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest. Proc Natl Acad Sci U S A 114, E8372–E8381 (2017).	2017.0	 Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest	 Proc Natl Acad Sci U S A 114, E8372–E8381 (2017)	https://doi.org/10.1073/pnas.1707316114		ATCC-BXS0116	1			Matrigel	mTeSR-1		RPMI-1640	B27, L-ascorbic acid	Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	3-6	6			Flow cytometry for cTnT+, a-actinin	70	α-MEM, GlutaMax, FBS, L-ascorbic acid		Yes	Palmitic acid, TGFβ-1		Yes	Yes (not pure)						Collagen + matrigel	CM + SC	hiPSC-SC		70, 0, 30	α-MEM, FBS, L-ascorbic acid	14.0	0.8	Yes	TEM		2.3		Yes	Post deflection	0.37			Dye	2.5		200	500		Patch clamp		102	-59.0		Metabolomics, Seahorse	Yes	RNA-seq, PCR		
	Minor, A. J. & Coulombe, K. L. K. Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production. Stem Cells Transl Med 11, 97–106 (2022).	2022.0	 Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production	 Stem Cells Transl Med 11, 97–106 (2022)	https://doi.org/10.1093/stcltm/szab002		WTC11	1	Male 	Asian	Vitronectin then Matrigel	E8		RPMI-1640	B27	CHIR99021	0-1	IWP2	3-5	10, not 14-21	No glucose with lactate	14-21	Flow cytometry for cTnT+	61	RPMI-1640, B27, 1.1mM Ca2+				Yes	Yes							Collagen	CM			100, 0, 0	RPMI-1640, B27, 1.1mM Ca2+	16.0	60	Yes						Force transducer		0.25	0.14 mN/s														PCR		
	Miwa, T., Idiris, A. & Kumagai, H. A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels. Regen Ther 15, 18–26 (2020).	2020.0	 A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels	 Regen Ther 15, 18–26 (2020)	https://doi.org/10.1016/j.reth.2020.04.008		201B7, 253G1	2	Female, NaN	Caucasian, NaN	Matrigel	mTeSR-1	EB	StemPro-34	VEGF, bFGF	Activin A, BMP4, bFGF	0-4	IWP4	4-6				Flow cytometry for cTnT+	95													Scaffold free	CM			100, 0, 0			0.015	Yes																							PCR		
	Moon, I., Ahmadzadeh, E., Jaferzadeh, K. & Kim, N. Automated quantification study of human cardiomyocyte synchronization using holographic imaging. Biomed Opt Express 10, 610 (2019).	2019.0	 Automated quantification study of human cardiomyocyte synchronization using holographic imaging	 Biomed Opt Express 10, 610 (2019)	https://doi.org/10.1364/BOE.https://doi.org/10.000610		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)																					ECM-coated plastic/glass															Motion tracking analysis																			
	Murphy, J. F. et al. Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues. Stem Cell Res Ther 10, (2019).	2019.0	 Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues	 Stem Cell Res Ther 10, (2019)	https://doi.org/10.1186/s13287-019-1486-4		SKiPS-31.3	1			Matrigel	mTeSR-1		iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWR1	3-4											Yes	Yes						Collagen + matrigel	CM + cardiac stem cells (CSCs)			90, 0, 10	F12, HAM's, FBS, bFGF, l-glutathione		6	Yes						Post deflection	0.012																Nanostring		
	Nakane, T. et al. Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue. Sci Rep 7, (2017).	2017.0	 Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue	 Sci Rep 7, (2017)	https://doi.org/10.1038/srep45641		201B6	1	Female	Caucasian	Matrigel	MEF-conditioned medium, bFGF		iCell Maintenance Medium (CDI)	B27	Activin A, BMP4, bFGF, Wnt3a	0-5			5			Flow cytometry for VCAM1+							Yes	Yes		Yes				Collagen + matrigel	CM + EC + SC	hiPSC-MC	hiPSC-EC	45, 18, 15	High glucose-DMEM, FBS	15.0	150	Yes		Yes				Force transducer		0.55								MCR				6.9			PCR		
	Navaratnarajah, C. K. et al. Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition. J Virol 95, (2021).	2021.0	 Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition	 J Virol 95, (2021)	https://doi.org/10.1128/JVI.01368-21	GSE184715	in-house	1			Geltrex	mTeSR-1	EB	iCell Maintenance Medium (CDI)		CHIR99021		IWP4								Fibronectin										ECM-coated plastic/glass									Yes	SEM, TEM																						RNA-seq		Impact of SARS-CoV-2 infection on hiPSC-CMs
	Ng, R. et al. Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues. Am J Physiol Heart Circ Physiol 318, 1516–1524 (2020).	2020.0	 Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues	 Am J Physiol Heart Circ Physiol 318, 1516–1524 (2020)	https://doi.org/10.1152/ajpheart.00055.2020		PGP1	1	Male	Caucasian	Matrigel	mTeSR-1	100	iCell Maintenance Medium (CDI)	B27	CHIR99021	0-1	IWP	3-5	9									Yes	Yes	Yes	Yes			Yes		Decellularized tissue	CM + SC	hCF		91, 0, 9		10.0	9.6							Force transducer	0.64			Dye	0.2		230											blebbistatin	
	Noor, N. et al. 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts. Advanced Science 6, (2019).	2019.0	 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts	 Advanced Science 6, (2019)	https://doi.org/10.1002/advs.201900344		in-house	1			Matrigel	NutriStem Medium	100	iCell Maintenance Medium (CDI)	FBS, vitamin B12, zinc sulphate heptahydrate, cupric sulfate pentahydrate	CHIR99021	0-2	IWP2	4-6	8											Yes				Yes		Decellularized tissue	CM + EC + SC	hiPSC-CF	hiPSC-EC	85, 12.5, 2.5	EGM2	118.0		Yes	SEM									Dye															
	Oleaga, C. et al. Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system. Biomaterials 182, 176–190 (2018).	2018.0	 Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system	 Biomaterials 182, 176–190 (2018)	https://doi.org/10.1016/j.biomaterials.2018.07.062		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)																	Flow				MEA						HSL2 medium									Post deflection						96.0					15.0							cyclophosphamide, acrolein, terfenadine, fexofenadine	
	Oleaga, C. et al. Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs. Sci Rep 6, (2016).	2016.0	 Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs	 Sci Rep 6, (2016)	https://doi.org/10.1038/srep20030		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)																Yes	Flow				ECM-coated plastic/glass						Ultraculture medium, B27, L-glutamine, dextrose			Yes						Post deflection																		doxorubicin, atorvastatin, valproic acid, acetaminophen, n-acetyl-m-aminophenol	
	Ong, C. S. et al. Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes. Sci Rep 7, (2017).	2017.0	 Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes	 Sci Rep 7, (2017)	https://doi.org/10.1038/srep20030		in-house	1			Matrigel	mTeSR-1		RPMI-1640	B27	CHIR99021	0-1	IWR1	3-5	Not clear			Flow cytometry for VCAM1+	93							Yes		Yes				Scaffold free	CM + EC + SC	hCF	HUVEC	70, 15, 15	 	0.165	0.25	Yes						Motion tracking analysis										Optical mapping	4.0								
	Ozcebe, S. G., Bahcecioglu, G., Yue, X. S. & Zorlutuna, P. Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence. Biomaterials 268, (2021).	2021.0	 Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence	 Biomaterials 268, (2021)	https://doi.org/10.1016/j.biomaterials.2020.120554		HVRDi007-A	1	Male		Geltrex	mTeSR-1	90	RPMI-1640	B27, β-mercaptoethanol	CHIR99021	0-2	IWP4	4-6	9						FIbronectin									Yes	ECM-coated plastic/glass						RPMI-1640, B27, β-mercaptoethanol			Yes						Motion tracking analysis			45	Dye		24.0	500											isoproterenol	
	Parikh, S. S. et al. Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Circ Res 121, 1323–1330 (2017).	2017.0	 Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes	 Circ Res 121, 1323–1330 (2017)	https://doi.org/10.1161/CIRCRESAHA.117.311920		in-house	2			Matrigel	mTeSR-1	75	RPMI-1640	B27	CHIR99021	0-2	IWR1	3-5	16	No glucose	10-16			RPMI-1640, B27, T3, dexamethasone	Matrigel	Yes	T3 (triiodothyronine), Dex (dexamethasone)						Yes		Thick matrigel						RPMI-1640, B27, T3, dexamethasone 			Yes				2000	Yes	Motion track analysis			time to peak=0.71s	Dye	0.88		490											caffeine (for calcium content & SR)	
	Park, J. et al. Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes. Acta Biomater 102, 220–230 (2020).	2020.0	 Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes	 Acta Biomater 102, 220–230 (2020)	https://doi.org/10.1016/j.actbio.2019.https://doi.org/10.019		Y6	1			Matrigel	KO-DMEM/F12, KOSR, L-glutamine, NEAAs, bFGF, β-mercaptoethanol	90	RPMI-1640	B27	CHIR99021	0-1	IWP4	3-5	11	No glucose with lactate	12-14								Yes	Yes						Collagen, PGA mesh, decellularized porcine ECM	CM + SC	hCF		70, 0, 30	RPMI-1640, B27	30.45	25	Yes						Force transducer	1.1	3.2																	
	Park, S. J. et al. Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue. Circulation 140, 390–404 (2019).	2019.0	 Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue	 Circulation 140, 390–404 (2019)	https://doi.org/10.1038/s41598-017-05018-4		in-house, Cor.4U	2	NaN, NaN	NaN, NaN	Matrigel	mTeSR-1		Cor.4U complete medium or 1:1 RPMI-1640:No-glucose DMEM	Cor.4U complete medium, or RPMI-1640, B27, lactate, FBS	CHIR99021	0-1	IWR1	3-5		No glucose with lactate	15-18	Flow cytometry for cTnT+	92					Optical stimulation					Yes		Hydrogel		CM			100, 0, 0	Cor.4U complete medium, or RPMI-1640, B27, lactate, FBS		2	Yes						Motion tracking analysis		5.0		Dye														isoproterenol	ACM
	Parveen, S., Singh, S. P., Panicker, M. M. & Gupta, P. K. Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis. In Vitro Cell Dev Biol Anim 55, 272–284 (2019).	2019.0	 Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis	 In Vitro Cell Dev Biol Anim 55, 272–284 (2019)	https://doi.org/10.1007/s11626-019-00321-y		in-house	1					EB	Knockout DMEM	B27	Activin A, BMP4, bFGF	0-4	BMP4, Activin A, bFGF, VEGF	4-8							Matrigel									Yes	Decellularized ECM									Yes										Dye													PCR		
	Pasqualini, F. S., Sheehy, S. P., Agarwal, A., Aratyn-Schaus, Y. & Parker, K. K. Structural phenotyping of stem cell-derived cardiomyocytes. Stem Cell Reports 4, 340–347 (2015).	2015.0	 Structural phenotyping of stem cell-derived cardiomyocytes	 Stem Cell Reports 4, 340–347 (2015)	https://doi.org/10.1016/j.stemcr.2015.01.020		iCell	1						iCell Maintenance Medium (CDI)	iCell Maintenance Medium (CDI)											FIbronectin								Yes		Micropatterned PDMS, Micropatterned PAA						 			Yes																									
