Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?
Saleem, U. et al. Blinded, Multicenter Evaluation of Drug-induced Changes in Contractility Using Human-induced Pluripotent Stem Cell-derived Cardiomyocytes. Toxicological Sciences 176, 103123 (2020).	2020.0	Selected	in-house, iCell2, Pluricyte	3		Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes	
Saleem, U. et al. Force and Calcium Transients Analysis in Human Engineered Heart Tissues Reveals Positive Force-Frequency Relation at Physiological Frequency. Stem Cell Reports 14, 312324 (2020).	2020.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-13	Flow cytometry for cTnT+					Yes	
Saludas, L. et al. Long-term engraftment of human cardiomyocytes combined with biodegradable microparticles induces heart repair. Journal of Pharmacology and Experimental Therapeutics 370, 761771 (2019).	2019.0	Randomized	Gibco episomal	1	85	CHIR99021	0-1	WntC-59	3-5	7	No glucose with lactate	9-12	Flow cytometry for cTnT+	90					
Sapp, V. et al. Genome-wide CRISPR/Cas9 screening in human iPS derived cardiomyocytes uncovers novel mediators of doxorubicin cardiotoxicity. Sci Rep 11, (2021).	2021.0	Randomized	IPSL1	1		CHIR99021	0-1	Wnt-C59	3-5	0	No glucose with lactate	15-25	Flow cytometry for cTnT+						
Saraf, A. et al. Functional and molecular effects of TNF-? on human iPSC-derived cardiomyocytes. Stem Cell Res 52, (2021).	2021.0	Selected	SCVI-273, IMR-90	2	85	CHIR99021	0-2	IWR1	2-4	5			IHC for a-actinin	85					
Sasaki, D. et al. Contractile force measurement of human induced pluripotent stem cell-derived cardiac cell sheet-tissue. PLoS One 13, (2018).	2018.0	Top 100	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	95					
Schaefer, J. A., Guzman, P. A., Riemenschneider, S. B., Kamp, T. J. & Tranquillo, R. T. A cardiac patch from aligned microvessel and cardiomyocyte patches. J Tissue Eng Regen Med 12, 546556 (2018).	2018.0	Randomized	DF19-9-11T.H	1		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85					Yes
Schulz, A. et al. Tyramine-conjugated alginate hydrogels as a platform for bioactive scaffolds. J Biomed Mater Res A 107, 114121 (2019).	2019.0	Randomized	Cor.4U	1															
Schulze, M. L. et al. Dissecting hiPSC-CM pacemaker function in a cardiac organoid model. Biomaterials 206, 133145 (2019).	2019.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-13	Flow cytometry for cTnT+	86					
Shadrin, I. Y. et al. Cardiopatch platform enables maturation and scale-up of human pluripotent stem cell-derived engineered heart tissues. Nat Commun 8, (2017).	2017.0	Top 100	ATCC, BJ1	2		CHIR99021	0-1	IWP4	3-5	7, not 10-12	No glucose with lactate	10-12	Flow cytometry for cTnT+	86				Yes	
Shanmughapriya, S. et al. FOXD1-dependent MICU1 expression regulates mitochondrial activity and cell differentiation. Nat Commun 9, (2018).	2018.0	Randomized	iPS-GM942-SeV3, iPS-GM942-SeV5	2									Flow cytometry for cTnT+						
Sharma, A. et al. High-throughput screening of tyrosine kinase inhibitor cardiotoxicity with human induced pluripotent stem cells. Sci Transl Med 9, (2017).	2017.0	Top 100	in-house(2), iCell	11	85	CHIR99021	0-2	Wnt-C59	2-5		No glucose with lactate								
Shen, S. et al. Physiological calcium combined with electrical pacing accelerates maturation of human engineered heart tissue. Stem Cell Reports 17, 20372049 (2022).	2022.0	Selected	PGP1, in-house	2		CHIR99021	0-1	IWP4	3-5	6, not 12-16	No glucose with lactate	12-16					Yes	Yes	Yes
Shinnawi, R. et al. Monitoring human-induced pluripotent stem cell-derived cardiomyocytes with genetically encoded calcium and voltage fluorescent reporters. Stem Cell Reports 5, 582596 (2015).	2015.0	Selected	TRDSi002-A-1	1	85	CHIR99021	0-2	IWR1	3-5	11	No glucose	11-15	Flow cytometry for cTnI+	88					
Silva, A. C. et al. Co-emergence of cardiac and gut tissues promotes cardiomyocyte maturation within human iPSC-derived organoids. Cell Stem Cell 28, 2137-2152.e6 (2021).	2021.0	Selected	WTC11	1	100	CHIR99021	0-1	IWP2	3-5	7									Yes
Smith, A. S. T. et al. NanoMEA: A Tool for High-Throughput, Electrophysiological Phenotyping of Patterned Excitable Cells. Nano Lett 20, 15611570 (2020).	2021.0	Selected	iCell	1									IHC a-actinin	90					
Strimaityte, D. et al. Contractility and Calcium Transient Maturation in the Human iPSC-Derived Cardiac Microfibers. ACS Appl Mater Interfaces 14, 3537635388 (2022).	2022.0	Selected	in-house WTC	1	85	CHIR99021	0-2	IWR1	3-5	7	No glucose	12-14	Flow cytometry for cTnT+	90					
Strober, B. J. et al. Dynamic genetic regulation of gene expression during cellular differentiation.	2019.0	Top 100	in-house	19	85	CHIR99021	0-1	Wnt-C59	3-5				Flow cytometry for cTnT+	40.4					
Sun, S. et al. Progressive Myofibril Reorganization of Human Cardiomyocytes on a Dynamic Nanotopographic Substrate. ACS Appl Mater Interfaces 12, 2145021462 (2020).	2020.0	Randomized	WTC11	1	100	CHIR99021	0-2	IWP4	2-4	6, not 22-28	No glucose with lactate	22-28							
Sung, T. C. et al. Transient characteristics of universal cells on human-induced pluripotent stem cells and their differentiated cells derived from foetal stem cells with mixed donor sources. Cell Prolif 54, (2021).	2021.0	Randomized	454E2, in-house (3)	4	85	CHIR99021	0-2	IWR1	4-6	7									
Takada, T. et al. Aligned human induced pluripotent stem cell-derived cardiac tissue improves contractile properties through promoting unidirectional and synchronous cardiomyocyte contraction. Biomaterials 281, (2022).	2022.0	Selected	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6		Puromycin		Flow cytometry for cTnT+	89					
Takeda, M. et al. Development of in vitro drug-induced cardiotoxicity assay by using three-dimensional cardiac tissues derived from human induced pluripotent stem cells. Tissue Eng Part C Methods 24, 5667 (2018).	2018.0	Top 100	253G1	1		Activin A, BMP4, bFGF	0-4	IWR1	4-6										
Tamargo, M. A. et al. MilliPillar: A Platform for the Generation and Real-Time Assessment of Human Engineered Cardiac Tissues. ACS Biomater Sci Eng 7, 52155229 (2021).	2021.0	Selected	WTC11, BS2	2	85	CHIR99021	0-2	Wnt-C59	2-4	10	No glucose	10-13	Flow cytometry for cTnT+	85			Yes	Yes	Yes
Tan, Y. et al. Cell number per spheroid and electrical conductivity of nanowires influence the function of silicon nanowired human cardiac spheroids. Acta Biomater 51, 495504 (2017).	2017.0	Randomized	iCell	1															
Tan, Y. et al. Silicon nanowire-induced maturation of cardiomyocytes derived from human induced pluripotent stem cells. Nano Lett 15, 27652772 (2015).	2015.0	Top 100	iCell	1															
Tang, Y. et al. Induction and differentiation of human induced pluripotent stem cells into functional cardiomyocytes on a compartmented monolayer of gelatin nanofibers. Nanoscale 8, 1453014540 (2016).	2016.0	Selected	253G1	1		CHIR99021	0-1	IWP2	3-5	8			Flow cytometry for cTnT+	75					
Thavandiran, N. et al. Functional arrays of human pluripotent stem cell-derived cardiac microtissues. Sci Rep 10, (2020).	2020.0	Selected	iPSCTF	1	90	CHIR99021	0-1	IWP2 and proprietary tankyrase inhibitor	3-5	5			Flow cytometry for cTnT+					Yes	Yes
Thomas, T. et al. Extrusion 3D Printing of Porous Silicone Architectures for Engineering Human Cardiomyocyte-Infused Patches Mimicking Adult Heart Stiffness. ACS Appl Bio Mater 3, 58655871 (2020).	2019.0	Selected	PGP1	1	85	CHIR99021	0-3	IWP4	3-4	9			Not listed	90					
Tiburcy, M. et al. Defined engineered human myocardium with advanced maturation for applications in heart failure modeling and repair. Circulation 135, 18321847 (2017).	2017.0	Top 100	BJ1, hiPS-G1	2		Activin A, BMP4, CHIR99021, bFGF	0-3	IWP4	4-13	17	No glucose and lactate	13-17	Flow cytometry for a-actinin+	94				Yes	Yes
Toepfer, C. N. et al. Myosin Sequestration Regulates Sarcomere Function, Cardiomyocyte Energetics, and Metabolism, Informing the Pathogenesis of Hypertrophic Cardiomyopathy. Circulation 828842 (2020). 	2020.0	Top 100	PGP1	1	90	CHIR99021	0-1	Wnt-C59	3-5	7	No glucose	9-11							
Toepfer, C. N. et al. SarcTrack. Circ Res 124, 11721183 (2019).	2019.0	Top 100	PGP1	1		CHIR99021	0-1	IWP4	3-5	7	No glucose with lactate	10-12							
Tomov, M. L. et al. Distinct and Shared Determinants of Cardiomyocyte Contractility in Multi-Lineage Competent Ethnically Diverse Human iPSCs. Sci Rep 6, (2016).	2016.0	Randomized	in-house	1		CHIR99021	0-1	IWP2	3-5										
Treat, J. A., Goodrow, R. J., Bot, C. T., Haedo, R. J. & Cordeiro, J. M. Pharmacological enhancement of repolarization reserve in human induced pluripotent stem cells derived cardiomyocytes. Biochem Pharmacol 169, (2019).	2019.0	Randomized	WiCell	1		CHIR99021	0-2	IWP2, KY0211	2-6	8	No glucose with lactate	12-14							
Tsui, J. H. et al. Tunable electroconductive decellularized extracellular matrix hydrogels for engineering human cardiac microphysiological systems. Biomaterials 272, (2021).	2021.0	Selected	UC3-4 A1	1		CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnT+	90			Conductive		Yes
Tsukamoto, Y., Akagi, T. & Akashi, M. Vascularized cardiac tissue construction with orientation by layer-by-layer method and 3D printer. Sci Rep 10, (2020).	2020.0	Selected	253G1	1	EB	Activin A, BMP4, bFGF	0-2	IWR1, IWP2	2-4				IHC cTnT	90					Yes
Ulmer, B. M. et al. Contractile Work Contributes to Maturation of Energy Metabolism in hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 834847 (2018).	2018.0	Top 100	C25, UKEi003-C	2	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-6	6, not 9-12			Flow cytometry for cTnT+	77				Yes	
Uzun, A. U. et al. Ca2+-currents in human induced pluripotent stem cell-derived cardiomyocytes effects of two different culture conditions. Front Pharmacol 7, (2016).	2016.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS07											
Vaidyanathan, R. et al. I K1-enhanced human-induced pluripotent stem cell-derived cardiomyocytes: an improved cardiomyocyte model to investigate inherited arrhythmia syndromes. Am J Physiol Heart Circ Physiol 310, 16111621 (2016).	2016.0	Top 100	iCell	1													Adenoviral transfection to enhance IK1 in hiPSC-CMs		
Valarmathi, M. T., Fuseler, J. W., Davis, J. M. & Price, R. L. A novel human tissue-engineered 3-D functional vascularized cardiac muscle construct. Front Cell Dev Biol 5, (2017).	2017.0	Randomized	iCell	1															
Valls-Margarit, M. et al. Engineered Macroscale Cardiac Constructs Elicit Human Myocardial Tissue-like Functionality. Stem Cell Reports 13, 207220 (2019).	2019.0	Selected	ESi044-A	1	100	CHIR99021	0-1	IWP4	3-5	7			Flow cytometry for cTnI	72			Yes		Yes
van Meer, B. J. et al. Simultaneous measurement of excitation-contraction coupling parameters identifies mechanisms underlying contractile responses of hiPSC-derived cardiomyocytes. Nat Commun 10, (2019).	2019.0	Selected	Pluricyte	1															
Vannozzi, L. et al. Self-Folded Hydrogel Tubes for Implantable Muscular Tissue Scaffolds. Macromol Biosci 18, (2018).	2018.0	Top 100	Cor.4U	1															
Wang, C. et al. Maladaptive Contractility of 3D Human Cardiac Microtissues to Mechanical Nonuniformity. Adv Healthc Mater 9, (2020).	2020.0	Selected	WTC11	1		CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24							
Wang, J. et al. Graphene Sheet-Induced Global Maturation of Cardiomyocytes Derived from Human Induced Pluripotent Stem Cells. ACS Appl Mater Interfaces 9, 2592925940 (2017).	2017.0	Randomized	KB3, NC5	2	87.5	CHIR99021	0-1	IWR1	3-4								Conductive material		
Wang, Q. et al. Functional engineered human cardiac patches prepared from natures platform improve heart function after acute myocardial infarction. Biomaterials 105, 5265 (2016).	2016.0	Top 100	in-house	2	90	CHIR99021	0-1	IWR1	1-5	7			Flow cytometry for cTnT+	90					
Wanjare, M. et al. Anisotropic microfibrous scaffolds enhance the organization and function of cardiomyocytes derived from induced pluripotent stem cells. Biomater Sci 5, 15671578 (2017).	2017.0	Selected	P356	1		CHIR99021	0-2	IWR1	2-4	7	No glucose with lactate	9-15	IHC cTnT	80					Yes
Wei, L., Li, W., Entcheva, E. & Li, Z. Microfluidics-enabled 96-well perfusion system for high-throughput tissue engineering and long-term all-optical electrophysiology. Lab Chip 20, 40314042 (2020).	2020.0	Randomized	iCell	1													Optical stimulation		
Weinberger, F. et al. Cardiac repair in guinea pigs with human engineered heart tissue from induced pluripotent stem cells. Sci Trans Med 8, (2016).  	2016.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	4-11	7			Flow cytometry for cTnT+, Flow cytometry for a-actinin+	83				Yes	Yes
Wendel, J. S. et al. Functional Effects of a Tissue-Engineered Cardiac Patch From Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes in a Rat Infarct Model. Stem Cells Transl Med 4, 13241332 (2015).	2015.0	Top 100	DF19-9-11T.H	1		CHIR99021	0-1	IWP2	3-5	8, not 19-23	No glucose with lactate	10-23	Flow cytometry for cTnT+	94					Yes
Weng, K. C. et al. Human Induced Pluripotent Stem-Cardiac-Endothelial-Tumor-on-a-Chip to Assess Anticancer Efficacy and Cardiotoxicity. Tissue Eng Part C Methods 26, 4455 (2020).	2020.0	Randomized	in-house	1		CHIR99021	0-2	IWP2	3-5	7, not 13-21	No glucose with lactate	13-21					Yes		Yes
Wheelwright, M. et al. Investigation of human iPSC-derived cardiac myocyte functional maturation by single cell traction force microscopy. PLoS One 13, (2018).	2018.0	Selected	DF19-9-11T.H	1	90	CHIR99021	0-1	IWP4	3-5	7							Calcium concentration		
Williams, K. et al. A 3-D human model of complex cardiac arrhythmias. Acta Biomater 132, 149161 (2021).	2021.0	Randomized	iCell, iPSC-CM Lonza	2														Yes	Yes
Wnorowski, A. et al. Effects of Spaceflight on Human Induced Pluripotent Stem Cell-Derived Cardiomyocyte Structure and Function. Stem Cell Reports 13, 960969 (2019).	2019.0	Randomized	in-house	3	85	CHIR99021	0-2	IWR1	3-5	7	No glucose	9-12							
Wong, A. O. T. et al. Correlation between frataxin expression and contractility revealed by in vitro Friedreichs ataxia cardiac tissue models engineered from human pluripotent stem cells. Stem Cell Res Ther 10, (2019).	2019.0	Randomized	PB02	1	EB	Activin A, BMP4	0-3	IWR1	4-7				Flow cytometry for cTnT+	77				Yes	Yes
Wu, H. et al. Epigenetic Regulation of Phosphodiesterases 2A and 3A Underlies Compromised ?-Adrenergic Signaling in an iPSC Model of Dilated Cardiomyopathy. Cell Stem Cell 17, 89100 (2015).	2015.0	Top 100	in-house	3		CHIR99021	0-2	IWR1	3-5	7	No glucose	9-11	Flow cytometry for cTnT+	90					
Wu, K. H. et al. Efficient generation of functional cardiomyocytes from human umbilical cord-derived virus-free induced pluripotent stem cells. Cell Tissue Res 374, 275283 (2018).	2018.0	Randomized	in-house	1	100	Activin A	0-1	BMP4, bFGF	1-5	5			IHC a-actinin and cTnT	80					
Xu, C. et al. Bioinspired onion epithelium-like structure promotes the maturation of cardiomyocytes derived from human pluripotent stem cells. Biomater Sci 5, 18101819 (2017).	2017.0	Selected	in-house	1	85	CHIR99021	0-1	IWP2	3-5	7									
Xu, F. et al. MicroRNA-302d promotes the proliferation of human pluripotent stem cell-derived cardiomyocytes by inhibiting LATS2 in the Hippo pathway. Clin Sci 133, 13871399 (2019).	2019.0	Randomized	Cellapy	1	85	CHIR99021	0-1	IWP2	3-5	7	No glucose								
Yang, B. et al. A Net Mold-Based Method of Biomaterial-Free Three-Dimensional Cardiac Tissue Creation. Tissue Eng Part C Methods 25, 243252 (2019).	2019.0	Selected	in-house	1		CHIR99021		IWR1											Yes
Yassa, M. E., Mansour, I. A., Sewelam, N. I., Hamza, H. & Gaafar, T. The impact of growth factors on human induced pluripotent stem cells differentiation into cardiomyocytes. Life Sci 196, 3847 (2018).	2018.0	Randomized	UKKi011-A	1	85	Activin A, BMP4	0-3	IWP2	3-5		No glucose with lactate	13-16	Flow cytometry for cTnT+	92					
Yokota, M., Hatakeyama, H., Ono, Y., Kanazawa, M. & Goto, Y. I. Mitochondrial respiratory dysfunction disturbs neuronal and cardiac lineage commitment of human iPSCs. Cell Death Dis 8, (2017).	2017.0	Randomized	in-house	1		Activin A, BMP4, bFGF	0-5	DKK-1	6-12										
Yoshida, S. et al. Maturation of Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Soluble Factors from Human Mesenchymal Stem Cells. Molecular Therapy 26, 26812695 (2018).	2018.0	Top 100	253G1	1	EB	Activin A, BMP4, bFGF	0-3	IWP3	3-7				Flow cytometry for cTnT+	78					Yes
Yoshida, S., Sumomozawa, K., Nagamine, K. & Nishizawa, M. Hydrogel Microchambers Integrated with Organic Electrodes for Efficient Electrical Stimulation of Human iPSC?Derived Cardiomyocytes. Macromol Biosci 19, 1900060 (2019).	2019.0	Randomized	ReproCardio2	1													Yes		
Yu, C. et al. Scanningless and continuous 3D bioprinting of human tissues with decellularized extracellular matrix. Biomaterials 194, 113 (2019).	2019.0	Top 100	HDF-Cat-106-K-05a-CellApplications , BJ1	2	85		0-2		2-4	4, not 12-18	No glucose with lactate	12-18							
Zaunbrecher, R. J. et al. Cronos titin is expressed in human cardiomyocytes and necessary for normal sarcomere function. Circulation 140, 16471660 (2019).	2019.0	Randomized	WTC11	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7, not 18-22	No glucose with lactate	18-22	Flow cytometry for cTnT+	96				yes	Yes
Zhang, F. et al. Design and fabrication of an integrated heart-on-a-chip platform for construction of cardiac tissue from human iPSC-derived cardiomyocytes and in situ evaluation of physiological function. Biosens Bioelectron 179, (2021).	2021.0	Selected	Cellapy	1	70		0-2		2-4	4			Visual inspection	80			Yes		
Zhang, J. Z. et al. A Human iPSC Double-Reporter System Enables Purification of Cardiac Lineage Subpopulations with Distinct Function and Drug Response Profiles. Cell Stem Cell 24, 802-811.e5 (2019).	2019.0	Top 100	SCVI	2	85	CHIR99021	0-1	IWR1	3-5	7	No glucose	11-14	Flow cytometry for cTnT+						
Zhang, K. et al. Plakophilin-2 truncating variants impair cardiac contractility by disrupting sarcomere stability and organization. Sci. Adv 7, (2021). 	2021.0	Selected	PGP1, WTC11	2		CHIR99021	0-1	IWP4	3-5	13	No glucose with lactate	9-13						Yes	Yes
Zhang, L. et al. Derivation and high engraftment of patient-specific cardiomyocyte sheet using induced pluripotent stem cells generated from adult cardiac fibroblast. Circ Heart Fail 8, 156166 (2015).	2015.0	Top 100	in-house	3		Activin A	0-1	BMP4, bFGF	1-5	5			Flow cytometry for cTnT+	90					
Zhang, M. et al. Universal cardiac induction of human pluripotent stem cells in two and three-dimensional formats: Implications for in vitro maturation. Stem Cells 33, 14561469 (2015).	2015.0	Top 100	in-house	3	100	CHIR99021, BMP4	0-1	IWP2	2-3										
Zhang, Y. S. et al. Bioprinting 3D microfibrous scaffolds for engineering endothelialized myocardium and heart-on-a-chip. Biomaterials 110, 4559 (2016).	2016.0	Top 100	Stem Cell Theranostics CMs	1															Yes
Zhao, Y. et al. A Platform for Generation of Chamber-Specific Cardiac Tissues and Disease Modeling. Cell 176, 913-927.e18 (2019).	2019.0	Top 100	BJ1, C2A, iCell, iCell2, CDI(3)	7	100; EB	Activin A, BMP4; CHIR99021	0-1	IWP2 or IWP4	3-5	7			Flow cytometry for cTnT+	75			Yes	Yes	Yes
Zhao, Y. et al. Engineering microenvironment for human cardiac tissue assembly in heart-on-a-chip platform. Matrix Biology 8586, 189204 (2020).	2020.0	Randomized	BJ1	1	85	CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	75			Yes	Yes	Yes
Ziegler, N. et al. AMPKb1 and AMPKb2 define an isoform-specific gene signature in human pluripotent stem cells, differentially mediating cardiac lineage specification. Journal of Biological Chemistry 295, 1765917671 (2020).	2020.0	Randomized	ASE-9202	1		StemCell Differentiation kit	0-4		6-8	8	No glucose with lactate	10-12	Western blot for cTnT	30					
Zuppinger, C. et al. Characterization of cytoskeleton features and maturation status of cultured human iPSC-derived cardiomyocytes. European Journal of Histochemistry 61, 145153 (2017).	2017.0	Randomized	ax2505	1															
