Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
"Guerzoni, L. P. B. et al. A Layer-by-Layer Single-Cell Coating Technique to Produce Injectable Beating Mini Heart Tissues via Microfluidics. Biomacromolecules 20, 3746–3754 (2019)."	2019	Randomized	in-house	1		"Activin A, BMP4, bFGF"	0-4						Flow cytometry for cTnT+												PEG	CM + SC	hCF		"75, 0, 25"	10	0.012	Yes																							
"Guo, J. et al. Elastomer-grafted iPSC-derived micro heart muscles to investigate effects of mechanical loading on physiology. ACS Biomater Sci Eng 7, 2973–2989 (2021)."	2021	Selected	WTC11	1		CHIR99021	0-2	IWP2	44961	"6, not 20-24"	No glucose with lactate	20-24	Flow cytometry for cTnT+	86								Yes		ECM-coated PDMS								Yes		Yes	1.9			Motion tracking analysis	0.05		45	Genetically encoded sensor			150										
"Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 56–72 (2016)."	2016	Top 100	BJ-RiPS-1.1	1		CHIR99021	0-2	IWP4	44597	6			Flow cytometry for cTnT+; For cytometry for a-actinin	85						Yes			Yes		Decellularized tissue	CM			"100, 0, 0"		37.5	Yes	TEM					Force transducer 	0.125					42			33							PCR	
"Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740–750 (2016)."	2016	Top 100	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	44625	5			Flow cytometry for cTnT+											Electrospun fibers								Yes			1.4	1000						Dye		19				MEA							"isoproterenol, phenylephrine, carbamylcholine, heptanol"
"Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018)."	2018	Randomized	iCell2	1																	Yes			MEA																															norepinephrine
"Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 1251–1256 (2018)."	2018	Randomized	201B7	1		BMP4	0-1	IWP3	44659															ECM-coated plastic/glass								Yes	"SEM, TEM"				Yes																		
"Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565–578 (2019)."	2019	Randomized	iCell	1																				ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye	2.6		250 @ 1 HZ			Optical mapping					Seahorse	Proteomics	isoproterenol
"Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016)."	2016	Top 100	iCell	1																		Yes		ECM-coated PDMS								Yes				3500						Dye					44	Patch clamp; optical mapping		115	-80			PCR	
"Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 1126–1141 (2019)."	2019	Randomized	in-house (3)	3	85	StemCell Differentiation kit	0-4		45085	8			Flow cytometry for cTnT+	80										ECM-coated plastic/glass								Yes										Dye	0.15	45											
"Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019)."	2019	Randomized	in-house	1		CHIR99021	0-1	IWP2 or IWP4	44597	7	No glucose with lactate	45274												ECM-coated plastic/glass														Motion tracking analysis																	"alfuzosin, flecainide, isoproterenol"
"Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021)."	2021	Selected	"WTC11, IMBAi001-A, IMBAi002-A, 178/5"	4	EB	"Activin A, BMP4, CHIR99021, bFGF"	0-2	"BMP4, bFGF, IWP2"	44598	7			Flow cytometry for cTnI+	90					Yes						Scaffold free	CM + EC + SC	hiPSC-SC	hiPSC-EC		0.08	2	Yes	TEM					Motion tracking analysis				Dye	1.25	50				Optical mapping						RNA-seq	
"Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944–954 (2020)."	2020	Selected	201B7	1	EB	"Activin A, BMP4, bFGF"	0-3	IWR1	44990		aMHC-Puromycin resistance selection		Flow cytometry for cTnT+	99								Yes			Scaffold free	CM			"100, 0, 0"	0.325	1225	Yes		Yes																					
"Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773–785 (2019)."	2019	Randomized	WTC11	1	100	CHIR99021	0-1	IWP2	44990	"7, not 20-24"	No glucose with lactate	20-24	Flow cytometry for cTnT+	85					Yes						Scaffold free	CM + SC	"hCF, hDF, hMSC, hiPSC-CF"		"75, 0, 25"	0.14	0.18	Yes										Genetically encoded sensor	1.5											RNA-seq	
"Horváth, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822–833 (2018)."	2018	Top 100	C25	1	EB	"Activin A, BMP4, bFGF"	0-3	DS07	44627	3								Yes							Fibrin + matrigel	CM			"100, 0, 0"	10	100																	Optical mapping			-75			PCR	carbamylcholine
"Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467–479 (2015)."	2015	Top 100	WTC11	1		CHIR99021	0-1	IWP2	44625	7			Flow cytometry for cTnT+	70										ECM-coated plastic/glass														"Motion tracking analysis 
"			80	Genetically encoded sensor 						Patch clamp; MEA			-60				isoproterenol
"Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016)."	2016	Top 100	WTC11	1		CHIR99021	0-1	IWP2	44625	"7, not 20-24"	No glucose with lactate	20-24	Flow cytometry for cTnT+	91				Yes	Yes						Scaffold free	CM + SC	hiPSC-SC		"50, 0, 50"		0.5	Yes	SEM	Yes				Force transducer		4		Genetically encoded sensor		38											"isoproterenol, verapamil"
"Huethorst, E. et al. Customizable, engineered substrates for rapid screening of cellular cues. Biofabrication 12, (2020)."	2020	Randomized	Pluricyte	1																	Yes			Nanotopography								Yes						Motion tracking analysis										Optical mapping							
"Hwang, G. H. et al. Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system. J Cell Physiol 232, 3384–3395 (2017)."	2017	Randomized	ATCC	1		CHIR99021	0-1	"XAV939, IWP2"	44625	7			Flow cytometry for cTnT+	98										ECM-coated plastic/glass		CM			"100, 0, 0"			Yes																		86				PCR	
"Hwang, H. S. et al. Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories. J Mol Cell Cardiol 85, 79–88 (2015)."	2015	Top 100	"13FLVN0C1, CC2, DF19-9-11T.H"	3	80	CHIR99021	0-1	IWP1	44625	7			Flow cytometry for cTnT+	88										ECM-coated plastic/glass												2000						Dye	1.1		600										
"Iseoka, H. et al. Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue. Tissue Eng Part A 24, 287–300 (2018)."	2018	Selected	253G1	1	EB	"Activin A, BMP4, bFGF"	0-4	IWR1	45022				Flow cytometry for cTnT+	92					Yes						Scaffold free	CM + SC	hiPSC-SC		"70, 0, 30"			Yes						Motion tracking analysis			11	Dye	1.12	35			15	MEA; Optical mapping				2		PCR	
"Jabbour, R. J. et al. In vivo grafting of large engineered heart tissue patches for cardiac repair. (2021)."	2021	Selected	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	44989	8	No glucose	45245	Flow cytometry for cTnT+	97								Yes			Fibrin	CM			"100, 0, 0"	0.04	375	Yes		Yes			Yes	Motion tracking analysis				Genetically encoded sensor			300										
"Jayne, R. K. et al. Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers. Lab Chip 21, 1724–1737 (2021)."	2021	Selected	PGP1	1		CHIR99021	0-1	IWP4	44990	"7, not 9-13"	No glucose with lactate	44817								Yes					Collagen	CM + SC	hMSC		"90, 0, 10"		0.28	Yes						MEMS sensor	0.055																
"Jeziorowska, D. et al. Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs. Aggregation-based differentiation protocols. Int J Mol Sci 18, (2017)."	2017	Selected	in-house (4)	4	"2D: 75, 3D: EB"	"Activin A, BMP4, CHIR99021"	0-3	IWR1 or IWP2	3-5; 4-8				Flow cytometry for cTnT+	54										ECM-coated plastic/glass	Scaffold free	CM						Yes		Yes	1.9	2850												Patch clamp		98	-76			PCR	
"Jha, R. et al. A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells. FASEB Journal 34, 14336–14352 (2020)."	2020	Randomized	"IMR-90, SCVI-273"	2	85	CHIR99021	0-2	IWR1	44990	5			Flow cytometry for cTnT+; Flow cytometry for a-actinin+	"84, 79"										ECM-coated plastic/glass								Yes																						"RNA-seq, PCR"	
"Jia, J. et al. Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications. Acta Biomater 45, 110–120 (2016)."	2016	Randomized	iCell	1																		Yes		Hydrogel								Yes																							
"Jiang, X. et al. Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts. J Biosci Bioeng 132, 198–205 (2021)."	2021	Randomized	Not listed	1	90	"CHIR99021, rapamycin"	0-1	"XAY939, KY02111, BMS493"	44627	"8, not 10-14"	No glucose with lactate	44848	Flow cytometry for cTnT+	81				Yes	Yes						Collagen + matrigel	CM + SC	"hFF, hMSC, hCF"		"75, 0, 25"	10	2.9	Yes						Post deflection		0.8															"isoproterenol, nifedipine"
"Jiang, Y. et al. Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction. Stem Cell Res Ther 12, (2021)."	2021	Selected	KS1	1	75	CHIR99021	0-1	IWP2	45022	8	No glucose with lactate	Unclear											Yes		Decellularized tissue	CM			"100, 0, 0"		100	Yes	TEM		1.35							Dye		70			1.5							"RNA-seq, PCR"	isoproterenol
"Jung, G. et al. Time-dependent evolution of functional vs. remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation. FASEB Journal 30, 1464–1479 (2016)."	2016	Top 100	in-house	3	90	CHIR99021	0-2	IWR1	44624	7	No glucose	44849												Microgrooves in PDMS								Yes		Yes								Dye		32										PCR	isoproterenol
"Kaiser, N. J., Kant, R. J., Minor, A. J. & Coulombe, K. L. K. Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes. ACS Biomater Sci Eng 5, 887–899 (2019)."	2019	Selected	Gibco episomal	2		CHIR99021	0-3	IWP2		"15, not 20-24"	No glucose with lactate	20-24	Flow cytometry for cTnT+	45											Collagen + fibrin	CM			"100, 0, 0"	15	20	Yes						Force transducer 		0.54		Genetically encoded sensor													
"Kallepitis, C. et al. Quantitative volumetric Raman imaging of three dimensional cell cultures. Nat Commun 8, (2017)."	2017	Top 100	Gibco episomal	1	100	CHIR99021	0-1	IWP4	44625	"7, not 9-12"	No glucose and lactate	44816												ECM-coated plastic/glass																															
"Kawaguchi, S. et al. Intramyocardial Transplantation of Human iPS Cell–Derived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals. JACC Basic Transl Sci 6, 239–254 (2021)."	2021	Selected	253G4	1	EB	"CHIR99021, BMP4"		IWR1		"7, not 13-17"	No glucose with lactate	13-17	Flow cytometry for cTnT+	98											Scaffold free	CM			"100, 0, 0"	0.2	0.03	Yes						Motion tracking analysis																	
"Kawai, Y. et al. Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo. Front Cardiovasc Med 8, (2022)."	2022	Randomized	253G4	1	90	CHIR99021	0-1	IWR1	44626		StemFit Media	44909	Flow cytometry for cTnT+	99				Yes	Yes						Scaffold free	CM + EC + SC	hDF	HUVEC	"50, 25, 25"	0.6	2.9	Yes						Motion tracking analysis						27											
"Kawatou, M. et al. Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue. Nat Commun 8, (2017)."	2017	Top 100	836B3	1		"Activin A, BMP4, bFGF"	0-5	"XAV939, IWP4"	44570	1			Flow cytometry for cTnT+	96										ECM-coated plastic/glass								Yes																							E4031
"Kerscher, P. et al. Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues. Biomaterials 83, 383–395 (2016)."	2016	Selected	"IMR-90, DF19-9-11T.H"	2		CHIR99021	0-1	IWP2	44625	7			Flow cytometry for cTnT+	74											PEG + ECM	CM			"100, 0, 0"		21	Yes	TEM	Yes	1.8	2163	Yes	Motion tracking analysis				Dye												PCR	"isoproterenol, propranolol"
"Khan, M. et al. Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch. PLoS One 10, (2015)."	2015	Top 100	iCell	1																	Yes			Electrospun fibers								Yes	"SEM, TEM"		1.7								2		400			Patch clamp		100	-74			PCR	
"King, O. et al. Functional microvascularization of human myocardium in vitro. Cell Reports Methods 2, (2022)."	2022	Selected	WTC11	1	95	CHIR99021	0-2	Wnt-C59	44990	9	No glucose	45245							Yes	Flow					Fibrin	CM + EC + SC	hCF	CMVEC	"47.6,47.6,4.8"	100	6	Yes						Motion tracking analysis				Genetically encoded sensor	1.9	25	160			Patch clamp			-60				
"Kit-Anan, W. et al. Multiplexing physical stimulation on single human induced pluripotent stem cell-derived cardiomyocytes for phenotype modulation. Biofabrication 13, (2021)."	2021	Randomized	Gibco episomal	1	85	CHIR99021	0-2	Wnt-C59	44990	7	No glucose with lactate		Flow cytometry for cTnT+								Yes	Yes		Micropatterned PAA								Yes		Yes	1.75							Genetically encoded sensor	1.6		140									PCR	
"Kofron, C. M. et al. A predictive in vitro risk assessment platform for pro-arrhythmic toxicity using human 3D cardiac microtissues. Sci Rep 11, (2021)."	2021	Selected	Gibco episomal	1		CHIR99021	0-2	IWP2	2-?	"7, not 13-17"	No glucose with lactate	13-17	Flow cytometry for cTnT+	84			Yes		Yes						Scaffold free	CM + SC	hCF		"95, 0, 5"	0.06	0.4	Yes																Optical mapping							"E4031, ranolazine, isoproterenol,bispanol-A, 4-AP Bay K-8644"
"Kolanowski, T. J. et al. Enhanced structural maturation of human induced pluripotent stem cell-derived cardiomyocytes under a controlled microenvironment in a microfluidic system. Acta Biomater 102, 273–286 (2020)."	2020	Randomized	"iWT.D2.1/2.3, UMGi005-A"	2	90	CHIR99021	0-2	IWP2	44596	6			Flow cytometry for cTnT+	90						Flow				"Silicon membrane, microfluidic device"								Yes		Yes	1.9	3750		Motion tracking analysis			3.5													PCR	
"Kroll, K. et al. Electro-mechanical conditioning of human iPSC-derived cardiomyocytes for translational research. Prog Biophys Mol Biol 130, 212–222 (2017)."	2017	Selected	Cor.4U	1													Yes			Yes		Yes		ECM-coated PDMS								Yes			1.45							Dye						Patch clamp							
"Kujala, V. J., Pasqualini, F. S., Goss, J. A., Nawroth, J. C. & Parker, K. K. Laminar ventricular myocardium on a microelectrode array-based chip. J Mater Chem B 4, 3534–3543 (2016)."	2016	Randomized	Cor.4U	1							Cell sorting										Yes			"MEA, Microgrooves"								Yes		Yes														MEA	13.6						"isoproterenol, fexofenadine, terfenadine"
"Kumar, N. et al. Scalable Biomimetic Coaxial Aligned Nanofiber Cardiac Patch: A Potential Model for “Clinical Trials in a Dish”. Front Bioeng Biotechnol 8, (2020)."	2020	Selected	iCell	1																	Yes			Electrospun fibers								Yes	SEM					Motion tracking analysis				Dye		7				MEA							"isoproterenol, verapamil, E4031"
"Kurokawa, Y. K., Shang, M. R., Yin, R. T. & George, S. C. Modeling trastuzumab-related cardiotoxicity in vitro using human stem cell-derived cardiomyocytes. Toxicol Lett 285, 74–80 (2018)."	2018	Randomized	WTC11	1	85	CHIR99021	0-2	IWP2	44625	"7, not 13-21"	No glucose with lactate	13-21	Flow cytometry for cTnT+	95										ECM-coated plastic/glass								Yes																						PCR	"doxorubicin, trastuzumab"
"LaBarge, W. et al. Maturation of three-dimensional, hiPSC-derived cardiomyocyte spheroids utilizing cyclic, uniaxial stretch and electrical stimulation. PLoS One 14, (2019)."	2019	Selected	in-house	1		CHIR99021	0-1	IWR1	44596	4	No glucose with lactate	"10-12, 13-16"					Yes			Yes					Scaffold free	CM			"100, 0, 0"	0.92	0.5	Yes	"SEM, TEM"															Optical mapping	6					PCR	
"Lam, Y. Y. et al. Single-cell transcriptomics of engineered cardiac tissues from patient-specific induced pluripotent stem cell–derived cardiomyocytes reveals abnormal developmental trajectory and intrinsic contractile defects in hypoplastic right heart syndrome. J Am Heart Assoc 9, (2020)."	2020	Randomized	in-house (6)	6	EB	"Activin A, BMP4"	0-1	IWR1	44627	14			Flow cytometry for cTnT+	60				Yes	Yes		Yes	Yes		Microgrooves	Collagen + matrigel	CM + SC	hFF		"91, 0, 9"	110	3.9	Yes						Post deflection	0.09									Optical mapping	15					"RNA-seq, PCR"	
"Lauschke, K. et al. Creating a human-induced pluripotent stem cell-based NKX2.5 reporter gene assay for developmental toxicity testing. Arch Toxicol 95, 1659–1670 (2021)."	2021	Randomized	BIONi010-C	1	EB	"Activin A, BMP4, CHIR99021, bFGF"	0-1	Wnt-C59	44960																													Motion tracking analysis																PCR	"thiolidamide, valproic acid"
"Lee, S. et al. Contractile force generation by 3D hiPSC-derived cardiac tissues is enhanced by rapid establishment of cellular interconnection in matrix with muscle-mimicking stiffness. Biomaterials 131, 111–120 (2017)."	2017	Selected	in-house	1	85	CHIR99021	0-2	Wnt-C59	44596		No glucose with lactate	44785										Yes			PEG + ECM	CM			"100, 0, 0"	125	12.5	Yes						Motion tracking analysis		0.38	42	Dye		30											
"Lee, S. et al. Ultrasoft electronics to monitor dynamically pulsing cardiomyocytes. Nat Nanotechnol 14, 156–160 (2019)."	2019	Top 100	201B7	1	EB	"Activin A, BMP4, bFGF"	0-4	IWR1	44657												Yes	Yes		Electrospun fibers														Motion tracking analysis										MEA							isoproterenol
"Lemme, M. et al. Chronic intermittent tachypacing by an optogenetic approach induces arrhythmia vulnerability in human engineered heart tissue. Cardiovasc Res 116, 1487–1499 (2020)."	2020	Selected	UKE-1	1	EB	"Activin A, BMP4, bFGF"	0-3	XAV939	44995	6			Flow cytometry for cTnT+	92			Yes	Yes							Fibrin	CM			"100, 0, 0"	10	10	Yes						Post deflection	0.12									Patch clamp		90	-65			PCR	"flecainide, JTV519, E4031, ivabradine, SEA0400"
"Lemoine, M. D. et al. Human Induced Pluripotent Stem Cell-Derived Engineered Heart Tissue as a Sensitive Test System for QT Prolongation and Arrhythmic Triggers. Circ Arrhythm Electrophysiol 11, (2018)."	2018	Selected	"C25, ERC018, iCell2"	3		CHIR99021	0-2	IWR1	44624	"7, not 10-13"	1-Thioglycerol	44847						Yes							Fibrin	CM			"100, 0, 0"	10	16																	Patch clamp		109	-78			"fluorometric quantitation with Qubit
"	"ivabradine, E-4031, verapamil, moxifloxacin, HMR-1556, isoproterenol 
"
"Lemoine, M. D. et al. Human iPSC-derived cardiomyocytes cultured in 3D engineered heart tissue show physiological upstroke velocity and sodium current density. Sci Rep 7, (2017)."	2017	Top 100	C25	1	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44995	6								Yes							Fibrin + matrigel	CM			"100, 0, 0"	10	10	Yes																Patch clamp		102	-74			PCR	"Nifedipine, tetrodotoxin"
"Leonard, A. et al. Afterload promotes maturation of human induced pluripotent stem cell derived cardiomyocytes in engineered heart tissues. J Mol Cell Cardiol 118, 147–158 (2018)."	2018	Top 100	IMR-90	1		"Activin A, BMP4, CHIR99021"	0-3	XAV939	44625	7			Flow cytometry for cTnT+	90				Yes	Yes						Fibrin	CM + SC	hMSC		"91, 0, 9"	5.5	0.5	Yes	TEM		1.8	350?		Post deflection; Force transducer	0.6	0.4	42	Dye			200	220								PCR	
"Lewandowski, J. et al. The impact of in vitro cell culture duration on the maturation of human cardiomyocytes derived from induced pluripotent stem cells of myogenic origin. Cell Transplant 27, 1047–1067 (2018)."	2018	Randomized	SMiPSC 194	1	90; 70	"CHIR99021, BMP4"	0-3; 0-2	IWR1	3-7; 2-4	"7, not 12-16"	No glucose with lactate	45276	Flow cytometry for cTnT+	71										ECM-coated plastic/glass								Yes		Yes	1.7	1752						Dye	0.35	45	300									PCR	isoproterenol
"Li, J. et al. Extracellular recordings of patterned human pluripotent stem cell-derived cardiomyocytes on aligned fibers. Stem Cells Int 2016, (2016)."	2016	Selected	"IMR-90, iCell"	2	EB	"CHIR99021, BIO"	0-3	"KY02111, XAV939"	44629												Yes			Electrospun fibers								Yes	TEM															MEA	11						
"Li, J. et al. Human Pluripotent Stem Cell-Derived Cardiac Tissue-like Constructs for Repairing the Infarcted Myocardium. Stem Cell Reports 9, 1546–1559 (2017)."	2017	Top 100	"253G1, 201B7"	2	EB	CHIR99021	0-2	KY02111	44629															Electrospun fibers								Yes	"SEM, TEM"															MEA						PCR	"E4031, verapamil"
"Li, J. et al. Scaffold-Mediated Developmental Effects on Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes Are Preserved After External Support Removal. Front Cell Dev Biol 9, (2021)."	2021	Randomized	201B7	1		StemCell Differentiation kit	0-4		44720	"7, not 14-22"	No glucose with lactate	14-22									Yes			Electrospun fibers								Yes		Yes				Motion tracking analysis			8	Dye						Optical mapping						"RNA-seq, PCR"	
"Lin, B. et al. Modeling and study of the mechanism of dilated cardiomyopathy using induced pluripotent stem cells derived from individuals with duchenne muscular dystrophy. DMM Disease Models and Mechanisms 8, 457–466 (2015)."	2015	Top 100	in-house	2	EB	BMP4	0-1	"BPM4, bFGF, Activin A"	44565				Flow cytometry for cTnT+												Scaffold free	CM			"100, 0, 0"		0.14	Yes																						PCR	
"Lind, J. U. et al. Instrumented cardiac microphysiological devices via multimaterial three-dimensional printing. Nat Mater 16, 303–308 (2017)."	2016	Selected	Cor.4U	1																	Yes	Yes		"Microgrooves, hydrogel"								Yes		Yes	1.8			Force transducer 		10								Optical mapping	37						"verapamil, isoproterenol"
"Liu, T. et al. A net-shaped multicellular formation facilitates the maturation of hPSC-derived cardiomyocytes through mechanical and electrophysiological stimuli. Aging 10, 532–548 (2018)."	2018	Randomized	Cellapy	1	80	CHIR99021	0-2	IWP2	44657	7			Flow cytometry for cTnT+	88										ECM-coated plastic/glass								Yes	TEM		1.4	2900		Motion tracking analysis																PCR	"isoproterenol, verapamil, nifedipine, nisoldipine"
"Ma, R. et al. Electrical Stimulation Enhances Cardiac Differentiation of Human Induced Pluripotent Stem Cells for Myocardial Infarction Therapy. Antioxid Redox Signal 28, 371–384 (2018)."	2018	Randomized	Gibco episomal	1	EB								Flow cytometry for a-actinin	79			Yes								Scaffold free	CM			"100, 0, 0"			Yes										Dye		48										"RNA-seq, PCR"	ionomycin
"Ma, X. et al. 3D printed micro-scale force gauge arrays to improve human cardiac tissue maturation and enable high throughput drug testing. Acta Biomater 95, 319–327 (2019)."	2019	Selected	BJ1	1	80		0-2		44596	"4, not 12-18"	No glucose with lactate	44913					Yes	Yes		Yes					Collagen + Fibrin + matrigel 	CM			"100, 0, 0"		0.0225	Yes		Yes	1.8			Post deflection	0.01															PCR	"isoproterenol, omecamtiv mecarbil, levosimendan"
"Ma, Z. et al. Contractile deficits in engineered cardiac microtissues as a result of MYBPC3 deficiency and mechanical overload. Nat Biomed Eng 2, 955–967 (2018)."	2018	Top 100	WTC11	1		CHIR99021	0-1	IWP4	44625	8	No glucose with lactate	17-19	Flow cytometry for cTnT+	80							Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM			"100, 0, 0"	3	0.1	Yes						Motion tracking analysis				Genetically encoded sensor												PCR	
"Ma, Z. et al. Self-organizing human cardiac microchambers mediated by geometric confinement. Nat Commun 6, (2015)."	2015	Top 100	WTC11	1		CHIR99021	0-1	IWP4	44625	7											Yes			PEG + ECM	Scaffoldless	CM			"100, 0, 0"		0.13	Yes						Motion tracking analysis			50													PCR	thalidomide
"Macqueen, L. A. et al. A tissue-engineered scale model of the heart ventricle. Nat Biomed Eng 2, 930–941 (2018)."	2018	Top 100	"Cor.4U, PGP1"	6	100	CHIR99021	0-2	IWR1	44961	6			Visual inspection								Yes				"Ventricle scaffolds PCL/gelatin nanofibrous sheets, with human fibronectin"	CM			"100, 0, 0"	6		Yes		Yes								Dye		90											isoproterenol
"Madsen, A. et al. An Important Role for DNMT3A-Mediated DNA Methylation in Cardiomyocyte Metabolism and Contractility. Circulation 142, 1562–1578 (2020)."	2020	Randomized	UKEi003-C	1	EB	"Activin A, BMP4, bFGF"		XAV939					Flow cytometry for cTnT+	80				Yes							Fibrin	CM			"100, 0, 0"	10	16	Yes	TEM					Post deflection	0.2														Seahorse	RNA-seq	GW9662
"Mannhardt, I. et al. Human Engineered Heart Tissue: Analysis of Contractile Force. Stem Cell Reports 7, 29–42 (2016)."	2016	Top 100	"in-house, iCell, Cor.4U"	3	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44630	"7, not 10-13"	1-Thioglycerol	44857	Flow cytometry for cTnT+	85				Yes							Fibrin + matrigel	CM			"100, 0, 0"	10	10	Yes	TEM		1.6		Yes	Post deflection	0.152					61										PCR	"isoproterenol, verapamil, SEA-0400, E4031, NS-1643, ATX-II, tetrodotoxin, ouabain, rolipram, EMD-57033, Bay K-8644"
"Mannhardt, I., Warncke, C., Trieu, H. K., Müller, J. & Eschenhagen, T. Piezo-bending actuators for isometric or auxotonic contraction analysis of engineered heart tissue. J Tissue Eng Regen Med 13, 3–11 (2019)."	2018	Randomized	in-house	1	EB	"Activin A, BMP4, bFGF"	0-3	DS-I-7	44995	6								Yes		Yes					Fibrin	CM			"100, 0, 0"	10	10							Post deflection	0.6																"ivabradine, isoproterenol, 4-aminopyridin"
