Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types
Lemoine, M. D. et al. Human Induced Pluripotent Stem Cell-Derived Engineered Heart Tissue as a Sensitive Test System for QT Prolongation and Arrhythmic Triggers. Circ Arrhythm Electrophysiol 11, (2018).	2018.0	Selected	C25, ERC018, iCell2	3		CHIR99021	0-2	IWR1	3-4	7, not 10-13	1-Thioglycerol	10-13						Yes							Fibrin	CM
Lemoine, M. D. et al. Human iPSC-derived cardiomyocytes cultured in 3D engineered heart tissue show physiological upstroke velocity and sodium current density. Sci Rep 7, (2017).	2017.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes							Fibrin + matrigel	CM
Leonard, A. et al. Afterload promotes maturation of human induced pluripotent stem cell derived cardiomyocytes in engineered heart tissues. J Mol Cell Cardiol 118, 147Â158 (2018).	2018.0	Top 100	IMR-90	1		Activin A, BMP4, CHIR99021	0-3	XAV939	3-5	7			Flow cytometry for cTnT+	90				Yes	Yes						Fibrin	CM + SC
Lewandowski, J. et al. The impact of in vitro cell culture duration on the maturation of human cardiomyocytes derived from induced pluripotent stem cells of myogenic origin. Cell Transplant 27, 1047Â1067 (2018).	2018.0	Randomized	SMiPSC 194	1	90; 70	CHIR99021, BMP4	0-3; 0-2	IWR1	3-7; 2-4	7, not 12-16	No glucose with lactate	12-16	Flow cytometry for cTnT+	71										ECM-coated plastic/glass		
Li, J. et al. Extracellular recordings of patterned human pluripotent stem cell-derived cardiomyocytes on aligned fibers. Stem Cells Int 2016, (2016).	2016.0	Selected	IMR-90, iCell	2	EB	CHIR99021, BIO	0-3	KY02111, XAV939	3-9												Yes			Electrospun fibers		
Li, J. et al. Human Pluripotent Stem Cell-Derived Cardiac Tissue-like Constructs for Repairing the Infarcted Myocardium. Stem Cell Reports 9, 1546Â1559 (2017).	2017.0	Top 100	253G1, 201B7	2	EB	CHIR99021	0-2	KY02111	3-9															Electrospun fibers		
Li, J. et al. Scaffold-Mediated Developmental Effects on Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes Are Preserved After External Support Removal. Front Cell Dev Biol 9, (2021).	2021.0	Randomized	201B7	1		StemCell Differentiation kit	0-4		6-8	7, not 14-22	No glucose with lactate	14-22									Yes			Electrospun fibers		
Lin, B. et al. Modeling and study of the mechanism of dilated cardiomyopathy using induced pluripotent stem cells derived from individuals with duchenne muscular dystrophy. DMM Disease Models and Mechanisms 8, 457Â466 (2015).	2015.0	Top 100	in-house	2	EB	BMP4	0-1	BPM4, bFGF, Activin A	1-4				Flow cytometry for cTnT+												Scaffold free	CM
Lind, J. U. et al. Instrumented cardiac microphysiological devices via multimaterial three-dimensional printing. Nat Mater 16, 303Â308 (2017).	2016.0	Selected	Cor.4U	1																	Yes	Yes		Microgrooves, hydrogel		
Liu, T. et al. A net-shaped multicellular formation facilitates the maturation of hPSC-derived cardiomyocytes through mechanical and electrophysiological stimuli. Aging 10, 532Â548 (2018).	2018.0	Randomized	Cellapy	1	80	CHIR99021	0-2	IWP2	4-6	7			Flow cytometry for cTnT+	88										ECM-coated plastic/glass		
Ma, R. et al. Electrical Stimulation Enhances Cardiac Differentiation of Human Induced Pluripotent Stem Cells for Myocardial Infarction Therapy. Antioxid Redox Signal 28, 371Â384 (2018).	2018.0	Randomized	Gibco episomal	1	EB								Flow cytometry for a-actinin	79			Yes								Scaffold free	CM
Ma, X. et al. 3D printed micro-scale force gauge arrays to improve human cardiac tissue maturation and enable high throughput drug testing. Acta Biomater 95, 319Â327 (2019).	2019.0	Selected	BJ1	1	80		0-2		2-4	4, not 12-18	No glucose with lactate	12-18					Yes	Yes		Yes					Collagen + Fibrin + matrigel 	CM
Ma, Z. et al. Contractile deficits in engineered cardiac microtissues as a result of MYBPC3 deficiency and mechanical overload. Nat Biomed Eng 2, 955Â967 (2018).	2018.0	Top 100	WTC11	1		CHIR99021	0-1	IWP4	3-5	8	No glucose with lactate	17-19	Flow cytometry for cTnT+	80							Yes				3D filamentous matrices composed of three layers of micronscale parallel fibers	CM
Ma, Z. et al. Self-organizing human cardiac microchambers mediated by geometric confinement. Nat Commun 6, (2015).	2015.0	Top 100	WTC11	1		CHIR99021	0-1	IWP4	3-5	7											Yes			PEG + ECM	Scaffoldless	CM
Macqueen, L. A. et al. A tissue-engineered scale model of the heart ventricle. Nat Biomed Eng 2, 930Â941 (2018).	2018.0	Top 100	Cor.4U, PGP1	6	100	CHIR99021	0-2	IWR1	2-4	6			Visual inspection								Yes				Ventricle scaffolds PCL/gelatin nanofibrous sheets, with human fibronectin	CM
Madsen, A. et al. An Important Role for DNMT3A-Mediated DNA Methylation in Cardiomyocyte Metabolism and Contractility. Circulation 142, 1562Â1578 (2020).	2020.0	Randomized	UKEi003-C	1	EB	Activin A, BMP4, bFGF		XAV939					Flow cytometry for cTnT+	80				Yes							Fibrin	CM
Mannhardt, I. et al. Human Engineered Heart Tissue: Analysis of Contractile Force. Stem Cell Reports 7, 29Â42 (2016).	2016.0	Top 100	in-house, iCell, Cor.4U	3	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-23	Flow cytometry for cTnT+	85				Yes							Fibrin + matrigel	CM
Mannhardt, I., Warncke, C., Trieu, H. K., MÃ¼ller, J. & Eschenhagen, T. Piezo-bending actuators for isometric or auxotonic contraction analysis of engineered heart tissue. J Tissue Eng Regen Med 13, 3Â11 (2019).	2018.0	Randomized	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes		Yes					Fibrin	CM
Marchiano, S. et al. SARS-CoV-2 Infects Human Pluripotent Stem Cell-Derived Cardiomyocytes, Impairing Electrical and Mechanical Function. Stem Cell Reports 16, 478Â492 (2021).	2021.0	Top 100	WTC11	1		CHIR99021	0-1	Wnt-C59	2-4	6			Flow cytometry for cTnT+	83				Yes	Yes					ECM-coated plastic/glass	Fibrin	CM + SC
Marsano, A. et al. Beating heart on a chip: A novel microfluidic platform to generate functional 3D cardiac microtissues. Lab Chip 16, 599Â610 (2016).	2016.0	Top 100	iCell	1																Yes					Fibrin	CM
Martella, D. et al. Liquid Crystalline Networks toward Regenerative Medicine and Tissue Repair. Small 13, (2017).	2017.0	Top 100	ax2505	1													Conductive material				Yes			Nanotopography		
Martewicz, S. et al. Live Cell Imaging in Microfluidic Device Proves Resistance to Oxygen/Glucose Deprivation in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Anal Chem 90, 5687Â5695 (2018).	2018.0	Randomized	ADHF	1	90	CHIR99021	0-2	IWP4	3-5	7														ECM-coated plastic/glass		
Martewicz, S. et al. Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli. Ann Biomed Eng 47, 852Â865 (2019).	2019.0	Randomized	in-house	1		CHIR99021	0-1	IWP4	3-5									Yes		Yes	Yes			ECM-coated plastic/glass		
Mastikhina, O. et al. Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing. Biomaterials 233, (2020).	2020.0	Top 100	iCellA, iCellB	2														Yes	Yes						Fibrin + matrigel	CM + SC
Masumoto, H. et al. The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages. Sci Rep 6, (2016).	2016.0	Top 100	201B6	1		Activin A, BMP4, bFGF, Wnt3a	0-5	Dkk1	5-7	5			Flow cytometry for cTnT+	62				Yes	Yes						Collagen + matrigel	CM + EC + SC
Mathur, A. et al. Human iPSC-based cardiac microphysiological system for drug screening applications. Sci Rep 5, (2015).	2015.0	Top 100	WTC11	1	85	CHIR99021	0-1	IWP4	2-5	7			Flow cytometry for cTnT+	90						Flow					Scaffold free, microfluidic device	CM
Matsuura, K. et al. Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42Â°C condition for tumor prevention. Tissue Eng Part C Methods 24, 605Â615 (2018).	2018.0	Randomized	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6		Cell sorting													ECM-coated plastic/glass		
Mattapally, S. et al. Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice. Am J Physiol Heart Circ Physiol 315, H327ÂH339 (2018).	2018.0	Randomized	GRiPS	1		CHIR99021	0-1	IWR1	3-5	5	No glucose with lactate	10-15	IHC: cTnT, Cx43, MLC2v, MLC2A											ECM-coated plastic/glass	Fibrin	CM
McMinn, P., Guckenberger, D. J. & Beebe, D. J. Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit. SLAS Technol 26, 80Â91 (2021).	2021.0	Randomized	IMR-90	1		CHIR99021	0-1	IWP4	2-4	4														ECM-coated plastic/glass		
Melby, J. A. et al. Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues. J Proteome Res 20, 1424Â1433 (2021).	2021.0	Selected	DF19-9-11T.H	1	100	CHIR99021	0-1	IWP4	3-5	7, not 17-24	No glucose with lactate	17-24	Visual inspection	95				Yes	Yes						Fibrin	CM + SC
Michas, C. et al. Engineering a living cardiac pump on a chip using high-precision fabrication. Sci. Adv 8 (2022).	2022.0	Selected	PGP1	1	90	CHIR99021	0-1	IWP4	3-5	10, not 12-16	No glucose with lactate	12-16							Yes	Flow	Yes				Fibrin + matrigel	CM + SC
Miller, J. M. et al. Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity. Toxicol Appl Pharmacol 406, (2020).	2020.0	Randomized	iCell	1																				ECM-coated plastic/glass		
Minor, A. J. & Coulombe, K. L. K. Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production. Stem Cells Transl Med 11, 97Â106 (2022).	2022.0	Selected	WTC11	1		CHIR99021	0-1	IWP2	3-5	10, not 14-21	No glucose with lactate	14-21	Flow cytometry for cTnT+	61			Yes	Yes							Collagen	CM
Miwa, T., Idiris, A. & Kumagai, H. A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels. Regen Ther 15, 18Â26 (2020).	2020.0	Selected	201B7, 253G1	2	EB	Activin A, BMP4, bFGF	0-4	IWP4	4-6				Flow cytometry for cTnT+	95											Scaffold free	CM
Moon, I., Ahmadzadeh, E., Jaferzadeh, K. & Kim, N. Automated quantification study of human cardiomyocyte synchronization using holographic imaging. Biomed Opt Express 10, 610 (2019).	2019.0	Randomized	iCell	1																				ECM-coated plastic/glass		
Murphy, J. F. et al. Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues. Stem Cell Res Ther 10, (2019).	2019.0	Randomized	SKiPS-31.3	1		CHIR99021	0-1	IWR1	3-4									Yes	Yes						Collagen + matrigel	CM + cardiac stem cells (CSCs)
Nakane, T. et al. Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue. Sci Rep 7, (2017).	2017.0	Top 100	201B6	1		Activin A, BMP4, bFGF, Wnt3a	0-5			5			Flow cytometry for VCAM1+					Yes	Yes		Yes				Collagen + matrigel	CM + EC + SC
Navaratnarajah, C. K. et al. Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition. J Virol 95, (2021).	2021.0	Randomized	in-house	1	EB	CHIR99021		IWP4																ECM-coated plastic/glass		
Ng, R. et al. Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues. Am J Physiol Heart Circ Physiol 318, 1516Â1524 (2020).	2020.0	Randomized	PGP1	1	100	CHIR99021	0-1	IWP	3-5	9							Yes	Yes	Yes	Yes			Yes		Decellularized tissue	CM + SC
Noor, N. et al. 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts. Advanced Science 6, (2019).	2019.0	Top 100	in-house	1	100	CHIR99021	0-2	IWP2	4-6	8									Yes				Yes		Decellularized tissue	CM + EC + SC
Oleaga, C. et al. Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system. Biomaterials 182, 176Â190 (2018).	2018.0	Top 100	iCell	1																Flow				MEA		
Oleaga, C. et al. Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs. Sci Rep 6, (2016).	2016.0	Top 100	iCell	1															Yes	Flow				ECM-coated plastic/glass		
Ong, C. S. et al. Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes. Sci Rep 7, (2017).	2017.0	Top 100	in-house	1		CHIR99021	0-1	IWR1	3-5	Not clear			Flow cytometry for VCAM1+	93					Yes		Yes				Scaffold free	CM + EC + SC
Ozcebe, S. G., Bahcecioglu, G., Yue, X. S. & Zorlutuna, P. Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence. Biomaterials 268, (2021).	2021.0	Randomized	HVRDi007-A	1	90	CHIR99021	0-2	IWP4	4-6	9													Yes	ECM-coated plastic/glass		
Park, J. et al. Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes. Acta Biomater 102, 220Â230 (2020).	2020.0	Randomized	Y6	1	90	CHIR99021	0-1	IWP4	3-5	11	No glucose with lactate	12-14						Yes	Yes						Collagen, PGA mesh, decellularized porcine ECM	CM + SC
Park, S. J. et al. Insights into the Pathogenesis of Catecholaminergic Polymorphic Ventricular Tachycardia from Engineered Human Heart Tissue. Circulation 140, 390Â404 (2019).	2019.0	Top 100	in-house, Cor.4U	2		CHIR99021	0-1	IWR1	3-5		No glucose with lactate	15-18	Flow cytometry for cTnT+	92			Optical stimulation					Yes		Hydrogel		CM
Parveen, S., Singh, S. P., Panicker, M. M. & Gupta, P. K. Amniotic membrane as novel scaffold for human iPSC-derived cardiomyogenesis. In Vitro Cell Dev Biol Anim 55, 272Â284 (2019).	2019.0	Randomized	in-house	1	EB	Activin A, BMP4, bFGF	0-4	BMP4, Activin A, bFGF, VEGF	4-8														Yes	Decellularized ECM		
Pasqualini, F. S., Sheehy, S. P., Agarwal, A., Aratyn-Schaus, Y. & Parker, K. K. Structural phenotyping of stem cell-derived cardiomyocytes. Stem Cell Reports 4, 340Â347 (2015).	2015.0	Top 100	iCell	1																		Yes		Micropatterned PDMS, Micropatterned PAA		
Pioner, J. M. et al. Isolation and mechanical measurements of myofibrils from human induced pluripotent stem cell-derived cardiomyocytes. Stem Cell Reports 6, 885Â896 (2016).	2016.0	Top 100	in-house (2)	2		CHIR99021, Activin A	0-3	XAV939	3-x	7			Flow cytometry for cTnT+	60							Yes			Micropatterned plastic/glass		
Pioner, J. M. et al. Optical investigation of action potential and calcium handling maturation of hiPSC-cardiomyocytes on biomimetic substrates. Int J Mol Sci 20, (2019).	2019.0	Selected	UC3-4 A1	1	70		0-2		2-4	12											Yes	Yes		Micropatterned plastic/glass		
Pires, R. H., Shree, N., Manu, E., Guzniczak, E. & Otto, O. Cardiomyocyte mechanodynamics under conditions of actin remodelling. Philosophical Transactions of the Royal Society B: Biological Sciences 374, (2019).	2019.0	Randomized	iCell	1																				ECM-coated plastic/glass		
Pointon, A. et al. High-throughput imaging of cardiac microtissues for the assessment of cardiac contraction during drug discovery. Toxicological Sciences 155, 444Â457 (2017).	2017.0	Randomized	iCell	1																					Scaffold free	CM + EC + SC
Polonchuk, L. et al. Cardiac spheroids as promising in vitro models to study the human heart microenvironment. Sci Rep 7, (2017).	2017.0	Selected	Cor.4U	1															Yes						Scaffold free	CM + EC + SC
Portillo-Esquivel, L. E., Nanduri, V., Zhang, F., Liang, W. & Zhang, B. z-Wire: A Microscaffold That Supports Guided Tissue Assembly and Intramyocardium Delivery for Cardiac Repair. Adv Healthc Mater 9, (2020).	2020.0	Selected	iCell	1														Yes	Yes		Yes: Magnetic guided anisotropy				Z-wires with Iron(III) oxide nanoparticles (magnetic)	CM + SC
Prajapati, C., PÃ¶lÃ¶nen, R. P. & Aalto-SetÃ¤lÃ¤, K. Simultaneous recordings of action potentials and calcium transients from human induced pluripotent stem cell derived cardiomyocytes. Biol Open 7, (2018).	2018.0	Selected	UTA.04602.WT, UTA.04511.WT	2	EB								IHC for cTnT and RyR2											ECM-coated plastic/glass		
Pretorius, D. et al. Layer-By-Layer Fabrication of Large and Thick Human Cardiac Muscle Patch Constructs With Superior Electrophysiological Properties. Front Cell Dev Biol 9, (2021).	2021.0	Randomized	Not listed	Not listed		Yes, Not listed					No glucose with lactate	9-15	Flow cytometry for cTnT+	98					Yes						Fibrin + matrigel	CM + EC + SC
Pretorius, D., Kahn-Krell, A. M., LaBarge, W. C., Lou, X. & Zhang, J. Engineering of thick human functional myocardium via static stretching and electrical stimulation. iScience 25, (2022).	2022.0	Randomized	hiPSC5, lzhiPSC5	3	90	CHIR99021	0-1	IWR1	3-5	7	No glucose with lactate	9-15	Flow cytometry for cTnT+	96			Yes	Yes							Fibrin	CM
Pushp, P. et al. Functional comparison of beating cardiomyocytes differentiated from umbilical cord-derived mesenchymal/stromal stem cells and human foreskin-derived induced pluripotent stem cells. J Biomed Mater Res A 108, 496Â514 (2020).	2020.0	Randomized	DF6-9-9T.B	1	85	CHIR99021	0-1	IWP2	2-5	7			Flow cytometry for cTnT+	33							Yes			Electrospun fibers		
Qian, F. et al. Simultaneous electrical recording of cardiac electrophysiology and contraction on chip. Lab Chip 17, 1732Â1739 (2017).	2017.0	Top 100	iCell	1													Yes							ECM-coated plastic/glass		
Qu, Y. et al. Inotropic assessment in engineered 3D cardiac tissues using human induced pluripotent stem cell-derived cardiomyocytes in the BiowireTM II platform. J Pharmacol Toxicol Methods 105, (2020).	2020.0	Selected	iCell	1													Yes	Yes	Yes						Collagen + fibrin + matrigel	CM + SC
Quach, B., Krogh-Madsen, T., Entcheva, E. & Christini, D. J. Light-Activated Dynamic Clamp Using iPSC-Derived Cardiomyocytes. Biophys J 115, 2206Â2217 (2018).	2018.0	Randomized	Cor.4U	1													Optical sitmulation							ECM-coated plastic/glass		
Querdel, E. et al. Human Engineered Heart Tissue Patches Remuscularize the Injured Heart in a Dose-Dependent Manner. Circulation 143, 1991Â2006 (2021).	2021.0	Selected	UKEi1-A, TC-1133, C25	3	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6-10			Flow cytometry for cTnT+	83				Yes			Yes				Fibrin	CM
Rajamohan, D. et al. Automated electrophysiological and pharmacological evaluation of human pluripotent stem cell-derived cardiomyocytes. Stem Cells Dev 25, 439Â452 (2016).	2016.0	Selected	FIB-hiPSC, BT1-hiPSC	2		Activin A, BMP4	0-2	KY02111	2-4	4			Flow cytometry for cTnT+	91										ECM-coated plastic/glass		
Raval, K. K. et al. Pompe disease results in a Golgi-based glycosylation deficit in human induced pluripotent stem cell-derived cardiomyocytes. Journal of Biological Chemistry 290, 3121Â3136 (2015).	2015.0	Top 100	GM20089, GM20123, GM04912	3		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	80			Yes								Fibrin	CM
Rehnelt, S. et al. Frequency-dependent multi-well cardiotoxicity screening enabled by optogenetic stimulation. Int J Mol Sci 18, (2017).	2017.0	Randomized	Cor.4U	1													Optical stimulation							ECM-coated plastic/glass		
Richards, D. J. et al. Human cardiac organoids for the modelling of myocardial infarction and drug cardiotoxicity. Nat Biomed Eng 4, 446Â462 (2020).	2020.0	Selected	iCell	2	EB																				Scaffold free	CM + EC + SC
Richards, D. J. et al. Inspiration from heart development: Biomimetic development of functional human cardiac organoids. Biomaterials 142, 112Â123 (2017).	2017.0	Selected	iCell	1																					Scaffold free	CM + EC + SC
Richards, D. J. et al. Nanowires and electrical stimulation synergistically improve functions of hiPSC cardiac spheroids. Nano Lett 16, 4670Â4678 (2016).	2016.0	Top 100	iCell	1													Yes								Scaffold free	
Rogers, A. J., Fast, V. G. & Sethu, P. Biomimetic Cardiac Tissue Model Enables the Adaption of Human Induced Pluripotent Stem Cell Cardiomyocytes to Physiological Hemodynamic Loads. Anal Chem 88, 9862Â9868 (2016).	2016.0	Selected	iCell	1																Flow		Yes		Micropatterned PDMS		
Ronaldson-Bouchard, K. et al. A multi-organ chip with matured tissue niches linked by vascular flow. Nat Biomed Eng 6, 351Â371 (2022).	2022.0	Selected	WTC11	1	100	Activin A, BMP4	0-1	VEGF	1-3	3			Flow cytometry for cTnT+	85			Yes	Yes	Yes						Fibrin	CM + SC
Ronaldson-Bouchard, K. et al. Advanced maturation of human cardiac tissue grown from pluripotent stem cells. Nature 556, 239Â243 (2018).	2018.0	Top 100	BS2, C2A, IMR-90, WTC11	4	100	Activin A, BMP4	0-3			3			Flow cytometry for cTnT+	85			Yes	Yes	Yes						Fibrin	CM + SC
Roshanbinfar, K. et al. Carbon nanotube doped pericardial matrix derived electroconductive biohybrid hydrogel for cardiac tissue engineering. Biomater Sci 7, 3906Â3917 (2019).	2019.0	Randomized	F1	1	90	CHIR99021	0-2	IWR1	3-5	7							Conductive material						Yes	Decellularized ECM, Electrically conductive hydrogel		CM
Ruan, J. L. et al. Mechanical Stress Conditioning and Electrical Stimulation Promote Contractility and Force Maturation of Induced Pluripotent Stem Cell-Derived Human Cardiac Tissue. Circulation 134, 1557Â1567 (2016).	2015.0	Top 100	IBJ, IMR-90	2	80	Activin A, BMP4, CHIR99021, bFGF	0-2	XAV939, IWP2	2-3				Flow cytometry for cTnT+	63				Yes	Yes	Yes					Collagen + Geltrex	CM + EC + SC
Rupert, C. E., Irofuala, C. & Coulombe, K. L. K. Practical adoption of state-of-the-art hiPSC-cardiomyocyte differentiation techniques. PLoS One 15, (2020).	2020.0	Selected	Gibco episomal, NCRM-5, WTC11	3		CHIR99021	0-1	IWP2	3-5	9, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	82				Yes	Yes						Collagen	CM + SC
Rupert, C. E., Kim, T. Y., Choi, B. R. & Coulombe, K. L. K. Human Cardiac Fibroblast Number and Activation State Modulate Electromechanical Function of hiPSC-Cardiomyocytes in Engineered Myocardium. Stem Cells Int 2020, (2020).	2020.0	Selected	Gibco episomal	1	70	CHIR99021	Not listed	IWP2	Not listed	7			Flow cytometry for cTnT+	52				Yes	Yes						Collagen	CM + SC
Saleem, U. et al. Blinded, Multicenter Evaluation of Drug-induced Changes in Contractility Using Human-induced Pluripotent Stem Cell-derived Cardiomyocytes. Toxicological Sciences 176, 103Â123 (2020).	2020.0	Selected	in-house, iCell2, Pluricyte	3		Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	6								Yes							Fibrin + matrigel	CM
Saleem, U. et al. Force and Calcium Transients Analysis in Human Engineered Heart Tissues Reveals Positive Force-Frequency Relation at Physiological Frequency. Stem Cell Reports 14, 312Â324 (2020).	2020.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-13	Flow cytometry for cTnT+					Yes							Fibrin	CM
Saludas, L. et al. Long-term engraftment of human cardiomyocytes combined with biodegradable microparticles induces heart repair. Journal of Pharmacology and Experimental Therapeutics 370, 761Â771 (2019).	2019.0	Randomized	Gibco episomal	1	85	CHIR99021	0-1	WntC-59	3-5	7	No glucose with lactate	9-12	Flow cytometry for cTnT+	90								Biodegradable and biomimetic microparticles		ECM-coated microparticles		
Sapp, V. et al. Genome-wide CRISPR/Cas9 screening in human iPS derived cardiomyocytes uncovers novel mediators of doxorubicin cardiotoxicity. Sci Rep 11, (2021).	2021.0	Randomized	IPSL1	1		CHIR99021	0-1	Wnt-C59	3-5	0	No glucose with lactate	15-25	Flow cytometry for cTnT+											ECM-coated plastic/glass		
Saraf, A. et al. Functional and molecular effects of TNF-? on human iPSC-derived cardiomyocytes. Stem Cell Res 52, (2021).	2021.0	Selected	SCVI-273, IMR-90	2	85	CHIR99021	0-2	IWR1	2-4	5			IHC for a-actinin	85										ECM-coated plastic/glass		
Sasaki, D. et al. Contractile force measurement of human induced pluripotent stem cell-derived cardiac cell sheet-tissue. PLoS One 13, (2018).	2018.0	Top 100	201B7	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	95											Fibrin	CM
Schaefer, J. A., Guzman, P. A., Riemenschneider, S. B., Kamp, T. J. & Tranquillo, R. T. A cardiac patch from aligned microvessel and cardiomyocyte patches. J Tissue Eng Regen Med 12, 546Â556 (2018).	2018.0	Randomized	DF19-9-11T.H	1		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	85					Yes		Yes				Fibrin	CM + EC + SC
Schulz, A. et al. Tyramine-conjugated alginate hydrogels as a platform for bioactive scaffolds. J Biomed Mater Res A 107, 114Â121 (2019).	2019.0	Randomized	Cor.4U	1																	Yes	Yes		ECM-coated plastic/glass		
Schulze, M. L. et al. Dissecting hiPSC-CM pacemaker function in a cardiac organoid model. Biomaterials 206, 133Â145 (2019).	2019.0	Selected	in-house	1	EB	Activin A, BMP4, bFGF	0-3	DS-I-7	3-10	7, not 10-13	1-Thioglycerol	10-13	Flow cytometry for cTnT+	86											Scaffold free	CM
Shadrin, I. Y. et al. Cardiopatch platform enables maturation and scale-up of human pluripotent stem cell-derived engineered heart tissues. Nat Commun 8, (2017).	2017.0	Top 100	ATCC, BJ1	2		CHIR99021	0-1	IWP4	3-5	7, not 10-12	No glucose with lactate	10-12	Flow cytometry for cTnT+	86				Yes		Yes					Fibrin + matrigel	CM
Shanmughapriya, S. et al. FOXD1-dependent MICU1 expression regulates mitochondrial activity and cell differentiation. Nat Commun 9, (2018).	2018.0	Randomized	iPS-GM942-SeV3, iPS-GM942-SeV5	2									Flow cytometry for cTnT+											ECM-coated plastic/glass		
Sharma, A. et al. High-throughput screening of tyrosine kinase inhibitor cardiotoxicity with human induced pluripotent stem cells. Sci Transl Med 9, (2017).	2017.0	Top 100	in-house(2), iCell	11	85	CHIR99021	0-2	Wnt-C59	2-5		No glucose with lactate													ECM-coated plastic/glass		
Shen, S. et al. Physiological calcium combined with electrical pacing accelerates maturation of human engineered heart tissue. Stem Cell Reports 17, 2037Â2049 (2022).	2022.0	Selected	PGP1, in-house	2		CHIR99021	0-1	IWP4	3-5	6, not 12-16	No glucose with lactate	12-16					Yes	Yes	Yes			Yes	Yes		Decellularized tissue	CM + SC
Shinnawi, R. et al. Monitoring human-induced pluripotent stem cell-derived cardiomyocytes with genetically encoded calcium and voltage fluorescent reporters. Stem Cell Reports 5, 582Â596 (2015).	2015.0	Selected	TRDSi002-A-1	1	85	CHIR99021	0-2	IWR1	3-5	11	No glucose	11-15	Flow cytometry for cTnI+	88										ECM-coated plastic/glass		
Silva, A. C. et al. Co-emergence of cardiac and gut tissues promotes cardiomyocyte maturation within human iPSC-derived organoids. Cell Stem Cell 28, 2137-2152.e6 (2021).	2021.0	Selected	WTC11	1	100	CHIR99021	0-1	IWP2	3-5	7									Yes						Scaffold free	
Smith, A. S. T. et al. NanoMEA: A Tool for High-Throughput, Electrophysiological Phenotyping of Patterned Excitable Cells. Nano Lett 20, 1561Â1570 (2020).	2021.0	Selected	iCell	1									IHC a-actinin	90							Yes			MEA		
