Reference	Year	Publication Category	hiPSC Line (Healthy Control)	Number of Healthy Control hiPSC-CM Lines	Confluency at Start of Differentiation (%)	WNT Activator	Time of Wnt Activator (Start Day - End Day)	WNT Inhibitor	Time of Wnt Inibitor (Start Day - End Day)	Day Insulin is Added (Until End Unless Noted)	Purification Protocol	Time of hiPSC-CM Purification (Start Day - End Day)	Method to Assess Differentiation Purity	Differentiation Purity (%)	Maturation Technique: Metabolic?	Metabolic components	Maturation Technique: Electrical Stimulation?	Maturation Technique: Passive Tension?	Maturation Technique: Other Cell Types?	Maturation Technique: Mechanical Stimulation?	Maturation Technique: Cell Alignment?	Maturation Technique: Elastomeric Surface?	Maturation Technique: Cell Derived ECM?	2D: Surface	3D: Platform Type	3D: Cell Types	3D: Type of Stromal Cell	3D: Types of Endothelial Cell 	3D: Cell Composition (CM-EC-SC)	3D: Estimated Tissue Cell Density (10^6 cells/mL)	3D:Estimated Tissue size (mm2)	Immunofluorescent Imaging?	SEM or TEM	Sarcomere/Cellular Alignment Analysis?	Sarcomere Length (um)	Cell Area (um2)	T-tubules Present?	Contractile Analyses Method	Force (mN)	Stress (mN/mm2)	Upstroke Velocity (um/s)	Calcium Handling Analyses Method	Amplitude (F/F0)	Beat Rate (BPM)	Time to Peak (ms)	Time to Relaxation (ms)	Conduction Velocity (cm/s)	Electrical Physiology Analyses Method	AP Conduction Velocity (cm/s)	AP Amplitude (mV)	Resting Membrane Potential (mV)	Max Capture Rate (Hz)	Metabolic Analyses Method	Gene Analyses Method	Pharmacological Interventions
Guyette, J. P. et al. Bioengineering Human Myocardium on Native Extracellular Matrix. Circ Res 118, 56Â72 (2016).	2016.0	Top 100	BJ-RiPS-1.1	1		CHIR99021	0-2	IWP4	2-5	6			Flow cytometry for cTnT+; For cytometry for a-actinin	85						Yes			Yes		Decellularized tissue	CM			100, 0, 0		37.5	Yes	TEM					Force transducer 	0.125					42.0			33.0							PCR	
Han, J., Wu, Q., Xia, Y., Wagner, M. B. & Xu, C. Cell alignment induced by anisotropic electrospun fibrous scaffolds alone has limited effect on cardiomyocyte maturation. Stem Cell Res 16, 740Â750 (2016).	2016.0	Top 100	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-5	5			Flow cytometry for cTnT+											Electrospun fibers								Yes			1.4	1000						Dye		19.0				MEA							isoproterenol, phenylephrine, carbamylcholine, heptanol
Hart, C. et al. Rapid nanofabrication of nanostructured interdigitated electrodes (NIDES) for long-term in vitro analysis of human induced pluripotent stem cell differentiated cardiomyocytes. Biosensors (Basel) 8, (2018).	2018.0	Randomized	iCell2	1																	Yes			MEA																															norepinephrine
Hatani, T. et al. Nano-structural analysis of engrafted human induced pluripotent stem cell-derived cardiomyocytes in mouse hearts using a genetic-probe APEX2. Biochem Biophys Res Commun 505, 1251Â1256 (2018).	2018.0	Randomized	201B7	1		BMP4	0-1	IWP3	4-8															ECM-coated plastic/glass								Yes	SEM, TEM				Yes																		
Hellen, N. et al. Proteomic analysis reveals temporal changes in protein expression in human induced pluripotent stem cell-derived cardiomyocytes in vitro. Stem Cells Dev 28, 565Â578 (2019).	2019.0	Randomized	iCell	1																				ECM-coated plastic/glass								Yes						Motion tracking analysis				Dye	2.6		250 @ 1 HZ			Optical mapping					Seahorse	Proteomics	isoproterenol
Herron, T. J. et al. Extracellular matrix-mediated maturation of human pluripotent stem cell-derived cardiac monolayer structure and electrophysiological function. Circ Arrhythm Electrophysiol 9, (2016).	2016.0	Top 100	iCell	1																		Yes		ECM-coated PDMS								Yes				3500						Dye					44.0	Patch clamp; optical mapping		115	-80.0			PCR	
Hildebrandt, M. R. et al. Precision Health Resource of Control iPSC Lines for Versatile Multilineage Differentiation. Stem Cell Reports 13, 1126Â1141 (2019).	2019.0	Randomized	in-house (3)	3	85	StemCell Differentiation kit	0-4		6-8	8			Flow cytometry for cTnT+	80										ECM-coated plastic/glass								Yes										Dye	0.15	45.0											
Hoang, P., Jacquir, S., Lemus, S. & Ma, Z. Quantification of Contractile Dynamic Complexities Exhibited by Human Stem Cell-Derived Cardiomyocytes Using Nonlinear Dimensional Analysis. Sci Rep 9, (2019).	2019.0	Randomized	in-house	1		CHIR99021	0-1	IWP2 or IWP4	2-5	7	No glucose with lactate	12-14												ECM-coated plastic/glass														Motion tracking analysis																	alfuzosin, flecainide, isoproterenol
Hofbauer, P. et al. Cardioids reveal self-organizing principles of human cardiogenesis. Cell 184, 3299-3317.e22 (2021).	2021.0	Selected	WTC11, IMBAi001-A, IMBAi002-A, 178/5	4	EB	Activin A, BMP4, CHIR99021, bFGF	0-2	BMP4, bFGF, IWP2	2-6	7			Flow cytometry for cTnI+	90					Yes						Scaffold free	CM + EC + SC	hiPSC-SC	hiPSC-EC		0.08	2	Yes	TEM					Motion tracking analysis				Dye	1.25	50.0				Optical mapping						RNA-seq	
Homma, J., Shimizu, S., Sekine, H., Matsuura, K. & Shimizu, T. A novel method to align cells in a cardiac tissue-like construct fabricated by cell sheet-based tissue engineering. J Tissue Eng Regen Med 14, 944Â954 (2020).	2020.0	Selected	201B7	1	EB	Activin A, BMP4, bFGF	0-3	IWR1	3-5		aMHC-Puromycin resistance selection		Flow cytometry for cTnT+	99								Yes			Scaffold free	CM			100, 0, 0	0.325	1225	Yes		Yes																					
Hookway, T. A. et al. Phenotypic Variation between Stromal Cells Differentially Impacts Engineered Cardiac Tissue Function. Tissue Eng Part A 25, 773Â785 (2019).	2019.0	Randomized	WTC11	1	100	CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	85					Yes						Scaffold free	CM + SC	hCF, hDF, hMSC, hiPSC-CF		75, 0, 25	0.14	0.18	Yes										Genetically encoded sensor	1.5											RNA-seq	
HorvÃ¡th, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822Â833 (2018).	2018.0	Top 100	C25	1	EB	Activin A, BMP4, bFGF	0-3	DS07	3-7	3								Yes							Fibrin + matrigel	CM			100, 0, 0	10.0	100																	Optical mapping			-75.0			PCR	carbamylcholine
Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467Â479 (2015).	2015.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	70										ECM-coated plastic/glass														"Motion tracking analysis 
"			80	Genetically encoded sensor 						Patch clamp; MEA			-60.0				isoproterenol
Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016).	2016.0	Top 100	WTC11	1		CHIR99021	0-1	IWP2	3-5	7, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	91				Yes	Yes						Scaffold free	CM + SC	hiPSC-SC		50, 0, 50		0.5	Yes	SEM	Yes				Force transducer		4.0		Genetically encoded sensor		38.0											isoproterenol, verapamil
Huethorst, E. et al. Customizable, engineered substrates for rapid screening of cellular cues. Biofabrication 12, (2020).	2020.0	Randomized	Pluricyte	1																	Yes			Nanotopography								Yes						Motion tracking analysis										Optical mapping							
Hwang, G. H. et al. Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system. J Cell Physiol 232, 3384Â3395 (2017).	2017.0	Randomized	ATCC	1		CHIR99021	0-1	XAV939, IWP2	3-5	7			Flow cytometry for cTnT+	98										ECM-coated plastic/glass		CM			100, 0, 0			Yes																		86				PCR	
Hwang, H. S. et al. Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories. J Mol Cell Cardiol 85, 79Â88 (2015).	2015.0	Top 100	13FLVN0C1, CC2, DF19-9-11T.H	3	80	CHIR99021	0-1	IWP1	3-5	7			Flow cytometry for cTnT+	88										ECM-coated plastic/glass												2000						Dye	1.1		600										
Iseoka, H. et al. Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue. Tissue Eng Part A 24, 287Â300 (2018).	2018.0	Selected	253G1	1	EB	Activin A, BMP4, bFGF	0-4	IWR1	4-6				Flow cytometry for cTnT+	92					Yes						Scaffold free	CM + SC	hiPSC-SC		70, 0, 30			Yes						Motion tracking analysis			11	Dye	1.12	35.0			15.0	MEA; Optical mapping				2.0		PCR	
Jabbour, R. J. et al. In vivo grafting of large engineered heart tissue patches for cardiac repair. (2021).	2021.0	Selected	IMR-90	1	85	CHIR99021	0-2	Wnt-C59	3-4	8	No glucose	11-15	Flow cytometry for cTnT+	97								Yes			Fibrin	CM			100, 0, 0	0.04	375	Yes		Yes			Yes	Motion tracking analysis				Genetically encoded sensor			300										
Jayne, R. K. et al. Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers. Lab Chip 21, 1724Â1737 (2021).	2021.0	Selected	PGP1	1		CHIR99021	0-1	IWP4	3-5	7, not 9-13	No glucose with lactate	9-13								Yes					Collagen	CM + SC	hMSC		90, 0, 10		0.28	Yes						MEMS sensor	0.055																
Jeziorowska, D. et al. Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs. Aggregation-based differentiation protocols. Int J Mol Sci 18, (2017).	2017.0	Selected	in-house (4)	4	2D: 75, 3D: EB	Activin A, BMP4, CHIR99021	0-3	IWR1 or IWP2	3-5; 4-8				Flow cytometry for cTnT+	54										ECM-coated plastic/glass	Scaffold free	CM						Yes		Yes	1.9	2850												Patch clamp		98	-76.0			PCR	
Jha, R. et al. A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells. FASEB Journal 34, 14336Â14352 (2020).	2020.0	Randomized	IMR-90, SCVI-273	2	85	CHIR99021	0-2	IWR1	3-5	5			Flow cytometry for cTnT+; Flow cytometry for a-actinin+	84, 79										ECM-coated plastic/glass								Yes																						RNA-seq, PCR	
Jia, J. et al. Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications. Acta Biomater 45, 110Â120 (2016).	2016.0	Randomized	iCell	1																		Yes		Hydrogel								Yes																							
Jiang, X. et al. Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts. J Biosci Bioeng 132, 198Â205 (2021).	2021.0	Randomized	Not listed	1	90	CHIR99021, rapamycin	0-1	XAY939, KY02111, BMS493	3-7	8, not 10-14	No glucose with lactate	10-14	Flow cytometry for cTnT+	81				Yes	Yes						Collagen + matrigel	CM + SC	hFF, hMSC, hCF		75, 0, 25	10.0	2.9	Yes						Post deflection		0.8															isoproterenol, nifedipine
Jiang, Y. et al. Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction. Stem Cell Res Ther 12, (2021).	2021.0	Selected	KS1	1	75	CHIR99021	0-1	IWP2	4-6	8	No glucose with lactate	Unclear											Yes		Decellularized tissue	CM			100, 0, 0		100	Yes	TEM		1.35							Dye		70.0			1.5							RNA-seq, PCR	isoproterenol
Jung, G. et al. Time-dependent evolution of functional vs. remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation. FASEB Journal 30, 1464Â1479 (2016).	2016.0	Top 100	in-house	3	90	CHIR99021	0-2	IWR1	3-4	7	No glucose	10-15												Microgrooves in PDMS								Yes		Yes								Dye		32.0										PCR	isoproterenol
Kaiser, N. J., Kant, R. J., Minor, A. J. & Coulombe, K. L. K. Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes. ACS Biomater Sci Eng 5, 887Â899 (2019).	2019.0	Selected	Gibco episomal	2		CHIR99021	0-3	IWP2		15, not 20-24	No glucose with lactate	20-24	Flow cytometry for cTnT+	45											Collagen + fibrin	CM			100, 0, 0	15.0	20	Yes						Force transducer 		0.54		Genetically encoded sensor													
Kallepitis, C. et al. Quantitative volumetric Raman imaging of three dimensional cell cultures. Nat Commun 8, (2017).	2017.0	Top 100	Gibco episomal	1	100	CHIR99021	0-1	IWP4	3-5	7, not 9-12	No glucose and lactate	9-12												ECM-coated plastic/glass																															
Kawaguchi, S. et al. Intramyocardial Transplantation of Human iPS CellÂDerived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals. JACC Basic Transl Sci 6, 239Â254 (2021).	2021.0	Selected	253G4	1	EB	CHIR99021, BMP4		IWR1		7, not 13-17	No glucose with lactate	13-17	Flow cytometry for cTnT+	98											Scaffold free	CM			100, 0, 0	0.2	0.03	Yes						Motion tracking analysis																	
Kawai, Y. et al. Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo. Front Cardiovasc Med 8, (2022).	2022.0	Randomized	253G4	1	90	CHIR99021	0-1	IWR1	3-6		StemFit Media	12-14	Flow cytometry for cTnT+	99				Yes	Yes						Scaffold free	CM + EC + SC	hDF	HUVEC	50, 25, 25	0.6	2.9	Yes						Motion tracking analysis						27.0											
Kawatou, M. et al. Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue. Nat Commun 8, (2017).	2017.0	Top 100	836B3	1		Activin A, BMP4, bFGF	0-5	XAV939, IWP4	1-9	1			Flow cytometry for cTnT+	96										ECM-coated plastic/glass								Yes																							E4031
Kerscher, P. et al. Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues. Biomaterials 83, 383Â395 (2016).	2016.0	Selected	IMR-90, DF19-9-11T.H	2		CHIR99021	0-1	IWP2	3-5	7			Flow cytometry for cTnT+	74											PEG + ECM	CM			100, 0, 0		21	Yes	TEM	Yes	1.8	2163	Yes	Motion tracking analysis				Dye												PCR	isoproterenol, propranolol
Khan, M. et al. Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch. PLoS One 10, (2015).	2015.0	Top 100	iCell	1																	Yes			Electrospun fibers								Yes	SEM, TEM		1.7								2.0		400			Patch clamp		100	-74.0			PCR	
King, O. et al. Functional microvascularization of human myocardium in vitro. Cell Reports Methods 2, (2022).	2022.0	Selected	WTC11	1	95	CHIR99021	0-2	Wnt-C59	3-5	9	No glucose	11-15							Yes	Flow					Fibrin	CM + EC + SC	hCF	CMVEC	47.6,47.6,4.8	100.0	6	Yes						Motion tracking analysis				Genetically encoded sensor	1.9	25.0	160			Patch clamp			-60.0				
